"Player","Team","Rushing Attempts"
"Saquon Barkley ","PHI","328"
"Jonathan Taylor ","IND","310"
"Derrick Henry ","BAL","306"
"Bijan Robinson ","ATL","299"
"Josh Jacobs ","GB","297"
"Kyren Williams ","LAR","284"
"Ashton Jeanty ","LV","273"
"Bucky Irving ","TB","247"
"Kenneth Walker III ","SEA","245"
"Jahmyr Gibbs ","DET","240"
"C. McCaffrey ","SF","239"
"D'Andre Swift ","CHI","239"
"Chuba Hubbard ","CAR","239"
"James Cook ","BUF","235"
"Chase Brown ","CIN","231"
"Tony Pollard ","TEN","227"
"Joe Mixon ","HOU","226"
"Breece Hall ","NYJ","224"
"James Conner ","ARI","224"
"De'Von Achane ","MIA","219"
"Alvin Kamara ","NO","216"
"Omarion Hampton ","LAC","213"
"Kaleb Johnson ","PIT","212"
"Aaron Jones Sr. ","MIN","210"
"Brian Robinson Jr. ","WAS","205"
"Isiah Pacheco ","KC","203"
"TreVeyon Henderson ","NE","203"
"David Montgomery ","DET","197"
"Tyrone Tracy Jr. ","NYG","190"
"Quinshon Judkins ","CLE","190"
"Javonte Williams ","DAL","185"
"RJ Harvey ","DEN","165"
"Tank Bigsby ","JAC","162"
"J.K. Dobbins ","DEN","158"
"R. Stevenson ","NE","157"
"Najee Harris ","LAC","157"
"Jordan Mason ","MIN","154"
"Travis Etienne Jr. ","JAC","148"
"Jalen Hurts ","PHI","147"
"Lamar Jackson ","BAL","138"
"Cam Skattebo ","NYG","137"
"Jayden Daniels ","WAS","137"
"Jaylen Warren ","PIT","135"
"Justin Fields ","NYJ","128"
"Dylan Sampson ","CLE","126"
"Tyjae Spears ","TEN","124"
"Trey Benson ","ARI","124"
"Nick Chubb ","HOU","123"
"Jerome Ford ","CLE","120"
"Zach Charbonnet ","SEA","118"
"Tyler Allgeier ","ATL","117"
"Josh Allen ","BUF","116"
"Jaylen Wright ","MIA","116"
"Rachaad White ","TB","111"
"Rico Dowdle ","CAR","106"
"Isaac Guerendo ","SF","105"
"MarShawn Lloyd ","GB","103"
"Austin Ekeler ","WAS","100"
"Braelon Allen ","NYJ","100"
"Bhayshul Tuten ","JAC","100"
