team,QB,RB,TE,WR
ARI,1,19,3,7
ATL,28,23,12,30
BAL,22,12,9,23
BUF,16,15,17,22
CAR,30,32,28,13
CHI,9,26,23,8
CIN,27,17,31,12
CLE,32,2,13,27
DAL,31,20,8,32
DEN,25,18,14,31
DET,24,9,5,26
GB,3,16,20,1
HOU,12,5,22,18
IND,11,21,27,10
JAX,26,29,30,9
KC,10,3,21,17
LAC,21,8,2,25
LAR,14,10,32,4
LV,13,13,24,5
MIA,5,4,29,16
MIN,7,7,11,28
NE,18,24,18,13
NO,19,28,7,29
NYG,15,31,1,19
NYJ,29,14,15,20
PHI,2,1,16,2
PIT,20,22,26,11
SEA,4,30,4,3
SF,6,11,6,21
TB,23,6,25,24
TEN,17,25,10,15
WAS,8,27,19,6
