"Player","Team","Pass Attempts"
"Joe Burrow ","CIN","591"
"Dak Prescott ","DAL","581"
"Cam Ward ","TEN","564"
"Bo Nix ","DEN","555"
"Patrick Mahomes II ","KC","555"
"C.J. Stroud ","HOU","551"
"Tyler Shough ","NO","551"
"Caleb Williams ","CHI","549"
"Brock Purdy ","SF","548"
"Jared Goff ","DET","547"
"Matthew Stafford ","LAR","547"
"Trevor Lawrence ","JAC","546"
"Baker Mayfield ","TB","542"
"Jacoby Brissett ","ARI","541"
"Justin Herbert ","LAC","529"
"Aaron Rodgers ","PIT","527"
"Bryce Young ","CAR","526"
"Geno Smith ","NYJ","521"
"Daniel Jones ","IND","513"
"Jordan Love ","GB","511"
"Jaxson Dart ","NYG","510"
"Sam Darnold ","SEA","507"
"Drake Maye ","NE","500"
"Kyler Murray ","MIN","498"
"Malik Willis ","MIA","493"
"Jayden Daniels ","WAS","493"
"Josh Allen ","BUF","492"
"Jalen Hurts ","PHI","488"
"Lamar Jackson ","BAL","449"
"Fernando Mendoza ","LV","432"
"Deshaun Watson ","CLE","343"
"Tua Tagovailoa ","ATL","294"
"Michael Penix Jr. ","ATL","266"
"Shedeur Sanders ","CLE","202"
"Kirk Cousins ","LV","114"
"J.J. McCarthy ","MIN","49"
"Carson Beck ","ARI","49"
"Ty Simpson ","LAR","41"
"Marcus Mariota ","WAS","34"
"Riley Leonard ","IND","27"
"Davis Mills ","HOU","26"
"Jameis Winston ","NYG","26"
"Justin Fields ","KC","26"
"Joe Flacco ","CIN","25"
"Tyrod Taylor ","GB","25"
"Quinn Ewers ","MIA","24"
"Mitchell Trubisky ","TEN","23"
"Gardner Minshew II ","ARI","23"
"Chris Oladokun ","KC","23"
"Spencer Rattler ","NO","23"
"Kenny Pickett ","CAR","23"
"Tommy DeVito ","NE","23"
"Jarrett Stidham ","DEN","23"
"Will Levis ","TEN","23"
"Tyson Bagent ","CHI","23"
"Sam Howell ","DAL","22"
"Trey Lance ","LAC","22"
"Mac Jones ","SF","22"
"Joshua Dobbs ","DET","22"
"Jake Browning ","TB","22"
""
""
