Player,Tm,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,-9999
Daniel Jones,IND,15,27,5,14.9%,10,15,5,17.2%,6,7,5,19.4%,JoneDa05
Aaron Jones,MIN,14,44,2,25.5%,6,19,2,25.0%,2,5,2,16.7%,JoneAa00
Patrick Mahomes,KAN,14,88,5,16.9%,5,20,2,11.9%,2,0,1,11.1%,MahoPa00
Nick Chubb,HOU,13,20,1,17.8%,6,2,1,17.1%,6,2,1,26.1%,ChubNi00
Taysom Hill,NOR,13,8,1,21.7%,8,11,1,24.2%,2,2,1,16.7%,HillTa00
Alvin Kamara,NOR,13,51,1,21.7%,6,11,0,18.2%,2,-3,0,16.7%,KamaAl00
Tyler Shough,NOR,13,30,2,21.7%,10,3,1,30.3%,3,2,1,25.0%,ShouTy00
Justin Herbert,LAC,12,30,2,17.4%,6,14,2,17.6%,3,4,2,18.8%,HerbJu00
Lamar Jackson,BAL,12,52,2,12.0%,5,28,2,9.6%,1,2,0,3.6%,JackLa00
Dak Prescott,DAL,12,17,2,13.8%,10,9,2,20.4%,6,3,1,21.4%,PresDa01
Jaylen Wright,MIA,12,36,2,18.2%,6,-1,2,18.8%,3,4,2,23.1%,WrigJa04
Justin Fields,NYJ,11,35,3,20.8%,5,21,3,20.0%,2,3,2,40.0%,FielJu00
Keaton Mitchell,BAL,11,50,1,11.0%,2,6,0,3.8%,0,0,0,.0%,MitcKe01
Bryce Young,CAR,11,34,2,17.5%,5,26,2,17.9%,1,4,1,11.1%,YounBr01
Brian Robinson,SFO,10,39,2,10.8%,4,7,1,8.7%,2,2,1,8.7%,RobiBr01
Brashard Smith,KAN,10,26,0,12.0%,5,7,0,11.9%,0,0,0,.0%,SmitBr09
Tyjae Spears,TEN,10,30,2,22.7%,5,8,2,17.2%,2,7,2,20.0%,SpeaTy00
Cam Ward,TEN,10,20,2,22.7%,8,14,2,27.6%,1,-3,0,10.0%,WardCa00
Michael Carter,ARI,8,10,1,16.7%,4,2,1,11.4%,3,3,1,18.8%,CartMi03
Malik Davis,DAL,8,20,1,9.2%,4,8,1,8.2%,2,2,1,7.1%,DaviMa02
Baker Mayfield,TAM,8,17,1,12.5%,1,4,1,3.3%,1,4,1,5.6%,MayfBa00
C.J. Stroud,HOU,8,12,1,11.0%,3,8,1,8.6%,2,2,1,8.7%,StroCJ00
Jaydon Blue,DAL,7,17,1,8.0%,2,3,0,4.1%,1,0,0,3.6%,BlueJa01
Ray Davis,BUF,7,21,0,6.3%,3,4,0,4.7%,2,3,0,5.4%,DaviRa04
Joe Flacco,2TM,7,-8,1,,6,-4,1,,3,1,1,,FlacJo00
Tyler Huntley,BAL,7,25,0,7.0%,1,0,0,1.9%,0,0,0,.0%,HuntTy01
Marcus Mariota,WAS,7,12,1,7.9%,3,1,1,5.7%,3,1,1,10.3%,MariMa01
Brock Purdy,SFO,7,37,3,7.5%,3,15,3,6.5%,2,5,2,8.7%,PurdBr00
Raheim Sanders,CLE,7,20,1,12.5%,5,9,1,15.2%,4,4,1,19.0%,SandRa00
Matthew Stafford,LAR,7,-3,0,8.0%,4,-3,0,7.5%,2,-4,0,6.9%,StafMa00
Russell Wilson,NYG,7,21,0,7.3%,3,8,0,5.9%,1,1,0,3.6%,WilsRu00
Braelon Allen,NYJ,6,12,1,11.3%,3,13,1,12.0%,0,0,0,.0%,AlleBr05
Jayden Daniels,WAS,6,26,2,6.7%,2,2,2,3.8%,2,2,2,6.9%,DaniJa02
Sam Darnold,SEA,6,4,0,6.4%,4,-1,0,8.3%,1,-1,0,4.0%,DarnSa00
Jordan Love,GNB,6,25,0,6.7%,3,4,0,6.7%,1,2,0,5.0%,LoveJo03
J.J. McCarthy,MIN,6,45,4,10.9%,4,19,2,16.7%,1,1,1,8.3%,McCaJJ00
Jaret Patterson,LAC,6,18,1,8.7%,2,2,1,5.9%,2,2,1,12.5%,PattJa01
Dylan Sampson,CLE,6,5,0,10.7%,1,4,0,3.0%,0,0,0,.0%,SampDy00
Miles Sanders,DAL,6,25,1,6.9%,3,18,1,6.1%,1,4,1,3.6%,SandMi01
Geno Smith,LVR,6,20,0,14.6%,2,-4,0,10.5%,1,-5,0,10.0%,SmitGe00
Jacoby Brissett,ARI,5,3,1,10.4%,5,3,1,14.3%,2,2,1,12.5%,BrisJa00
Isaiah Davis,NYJ,5,19,0,9.4%,1,-1,0,4.0%,0,0,0,.0%,DaviIs00
Audric Estime,NOR,5,12,0,8.3%,5,12,0,15.2%,3,3,0,25.0%,EstiAu00
DJ Giddens,IND,5,11,0,5.0%,1,0,0,1.7%,1,0,0,3.2%,GiddDJ00
Connor Heyward,PIT,5,6,2,6.5%,4,5,2,8.7%,4,5,2,14.8%,HeywCo00
Jawhar Jordan,HOU,5,13,0,6.8%,2,5,0,5.7%,1,0,0,4.3%,JordJa00
Jaleel McLaughlin,DEN,5,27,1,6.9%,2,8,1,5.7%,1,4,1,6.7%,McLaJa00
Kendre Miller,NOR,5,28,1,8.3%,2,5,0,6.1%,0,0,0,.0%,MillKe01
Devin Neal,NOR,5,18,2,8.3%,2,7,2,6.1%,2,7,2,16.7%,NealDe00
Dare Ogunbowale,HOU,5,3,1,6.8%,4,0,1,11.4%,2,-7,0,8.7%,OgunDa00
Julius Chestnut,TEN,4,4,0,9.1%,2,0,0,6.9%,2,0,0,20.0%,ChesJu00
James Conner,ARI,4,11,1,8.3%,3,4,1,8.6%,3,4,1,18.8%,ConnJa00
Emari Demercado,ARI,4,7,0,8.3%,4,7,0,11.4%,0,0,0,.0%,DemeEm00
Trevor Etienne,CAR,4,19,0,6.3%,3,7,0,10.7%,1,-1,0,11.1%,EtieTr01
Jerome Ford,CLE,4,7,0,7.1%,4,7,0,12.1%,3,6,0,14.3%,FordJe00
Antonio Gibson,NWE,4,3,1,4.5%,2,1,1,3.6%,2,1,1,8.7%,GibsAn00
George Holani,SEA,4,11,1,4.3%,1,9,1,2.1%,0,0,0,.0%,HolaGe00
Terrell Jennings,NWE,4,15,1,4.5%,2,3,1,3.6%,2,3,1,8.7%,JennTe00
Kaleb Johnson,PIT,4,11,0,5.2%,0,0,0,.0%,0,0,0,.0%,JohnKa03
Jeremy McNichols,WAS,4,18,0,4.5%,3,9,0,5.7%,1,3,0,3.4%,McNiJe00
Raheem Mostert,LVR,4,10,0,9.8%,1,0,0,5.3%,0,0,0,.0%,MostRa00
Spencer Rattler,NOR,4,31,0,6.7%,0,0,0,.0%,0,0,0,.0%,RattSp00
Deebo Samuel,WAS,4,16,1,4.5%,2,1,0,3.8%,1,-2,0,3.4%,SamuDe00
Tyler Warren,IND,4,5,1,4.0%,4,5,1,6.9%,3,5,1,9.7%,WarrTy00
Malik Willis,GNB,4,17,1,4.5%,3,6,0,6.7%,0,0,0,.0%,WillMa12
Ameer Abdullah,IND,3,10,1,3.0%,2,6,1,3.4%,1,2,1,3.2%,AbduAm00
LeQuint Allen,JAX,3,16,0,2.7%,1,0,0,1.9%,1,0,0,3.7%,AlleLe01
Mark Andrews,BAL,3,2,0,3.0%,3,2,0,5.8%,2,0,0,7.1%,AndrMa00
AJ Barner,SEA,3,4,1,3.2%,2,2,1,4.2%,1,1,1,4.0%,BarnAJ00
Trey Benson,ARI,3,8,0,6.3%,2,4,0,5.7%,1,0,0,6.3%,BensTr01
Chris Brooks,GNB,3,8,0,3.4%,1,4,0,2.2%,0,0,0,.0%,BrooCh00
Greg Dortch,ARI,3,18,1,6.3%,1,4,1,2.9%,1,4,1,6.3%,DortGr01
Jared Goff,DET,3,0,0,3.4%,2,1,0,4.1%,0,0,0,.0%,GoffJa00
