team,QB,RB,TE,WR
ARI,10,2,2,19
ATL,15,22,25,7
BAL,11,15,26,4
BUF,28,10,32,28
CAR,26,7,16,22
CHI,7,18,20,6
CIN,12,4,1,31
CLE,30,11,18,30
DAL,1,6,21,1
DEN,23,32,11,24
DET,8,23,13,3
GB,20,14,23,14
HOU,27,27,17,26
IND,13,20,9,2
JAX,19,30,14,17
KC,21,28,24,21
LAC,31,29,28,23
LAR,17,17,19,10
LV,18,13,29,13
MIA,9,8,5,15
MIN,32,25,30,32
NE,24,24,15,20
NO,29,19,22,27
NYG,14,5,27,11
NYJ,3,1,8,16
PHI,22,12,31,25
PIT,5,26,4,8
SEA,25,31,12,29
SF,16,9,6,12
TB,2,16,3,18
TEN,6,21,10,5
WAS,4,3,7,9
