Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
1.0,Wes Welker,30.0,NWE,WR,16.0,15.0,173.0,122.0,1569.0,12.9,9.0,77.0,65.9,99.0,7.6,98.1,70.5,9.1,1.0,"PB,AP-1"
2.0,Roddy White,30.0,ATL,WR,16.0,16.0,180.0,100.0,1296.0,13.0,8.0,77.0,50.0,43.0,6.3,81.0,55.6,7.2,0.0,PB
3.0,Jimmy Graham,25.0,NOR,TE,16.0,11.0,149.0,99.0,1310.0,13.2,11.0,74.0,59.1,59.0,6.2,81.9,66.4,8.8,1.0,"PB,AP-2"
4.0,Calvin Johnson,26.0,DET,WR,16.0,16.0,158.0,96.0,1681.0,17.5,16.0,76.0,57.0,73.0,6.0,105.1,60.8,10.6,1.0,"PB,AP-1"
5.0,Rob Gronkowski,22.0,NWE,TE,16.0,16.0,124.0,90.0,1327.0,14.7,17.0,69.0,66.9,52.0,5.6,82.9,72.6,10.7,0.0,"PB,AP-1"
6.0,Percy Harvin,23.0,MIN,WR,16.0,14.0,121.0,87.0,967.0,11.1,6.0,47.0,50.4,52.0,5.4,60.4,71.9,8.0,2.0,
7.0,Darren Sproles,28.0,NOR,RB,16.0,4.0,111.0,86.0,710.0,8.3,7.0,35.0,51.4,39.0,5.4,44.4,77.5,6.4,0.0,
8.0,Brandon Pettigrew,26.0,DET,TE,16.0,16.0,126.0,83.0,777.0,9.4,5.0,38.0,54.8,27.0,5.2,48.6,65.9,6.2,0.0,
9.0,Victor Cruz,25.0,NYG,WR,16.0,7.0,131.0,82.0,1536.0,18.7,9.0,59.0,56.5,99.0,5.1,96.0,62.6,11.7,1.0,AP-2
10.0,Dwayne Bowe,27.0,KAN,WR,16.0,14.0,142.0,81.0,1159.0,14.3,5.0,56.0,50.0,52.0,5.1,72.4,57.0,8.2,1.0,
11.0,Brandon Marshall,27.0,MIA,WR,16.0,16.0,141.0,81.0,1214.0,15.0,6.0,53.0,49.6,65.0,5.1,75.9,57.4,8.6,1.0,PB
12.0,Marques Colston,28.0,NOR,WR,14.0,7.0,107.0,80.0,1143.0,14.3,8.0,56.0,70.1,50.0,5.7,81.6,74.8,10.7,1.0,
13.0,Larry Fitzgerald,28.0,ARI,WR,16.0,16.0,154.0,80.0,1411.0,17.6,8.0,60.0,48.1,73.0,5.0,88.2,51.9,9.2,0.0,"PB,AP-2"
14.0,Tony Gonzalez,35.0,ATL,TE,16.0,16.0,116.0,80.0,875.0,10.9,7.0,53.0,62.1,30.0,5.0,54.7,69.0,7.5,0.0,PB
15.0,Aaron Hernandez,22.0,NWE,TE,14.0,12.0,113.0,79.0,910.0,11.5,7.0,47.0,61.1,46.0,5.6,65.0,69.9,8.1,1.0,
16.0,Steve Smith Sr.,32.0,CAR,WR,16.0,16.0,129.0,79.0,1394.0,17.6,7.0,53.0,51.2,77.0,4.9,87.1,61.2,10.8,3.0,"PB,AP CPoY-4"
17.0,Jason Witten,29.0,DAL,TE,16.0,16.0,117.0,79.0,942.0,11.9,5.0,47.0,51.3,64.0,4.9,58.9,67.5,8.1,1.0,
18.0,Stevie Johnson,25.0,BUF,WR,16.0,16.0,134.0,76.0,1004.0,13.2,7.0,44.0,45.5,55.0,4.8,62.8,56.7,7.5,0.0,
19.0,Hakeem Nicks,23.0,NYG,WR,15.0,15.0,133.0,76.0,1192.0,15.7,7.0,54.0,52.6,68.0,5.1,79.5,57.1,9.0,0.0,
20.0,Ray Rice,24.0,BAL,RB,16.0,16.0,104.0,76.0,704.0,9.3,3.0,30.0,46.2,52.0,4.8,44.0,73.1,6.8,2.0,"PB,AP-2"
21.0,Reggie Wayne,33.0,IND,WR,16.0,16.0,132.0,75.0,960.0,12.8,4.0,50.0,50.8,56.0,4.7,60.0,56.8,7.3,0.0,
22.0,Kellen Winslow,28.0,TAM,TE,16.0,15.0,123.0,75.0,763.0,10.2,2.0,40.0,50.4,37.0,4.7,47.7,61.0,6.2,2.0,
23.0,Nate Washington,28.0,TEN,WR,16.0,15.0,121.0,74.0,1023.0,13.8,7.0,47.0,49.6,57.0,4.6,63.9,61.2,8.5,0.0,
24.0,Nate Burleson,30.0,DET,WR,16.0,11.0,110.0,73.0,757.0,10.4,3.0,36.0,53.6,47.0,4.6,47.3,66.4,6.9,1.0,
25.0,Michael Crabtree,24.0,SFO,WR,15.0,14.0,115.0,72.0,874.0,12.1,4.0,40.0,50.4,52.0,4.8,58.3,62.6,7.6,0.0,
