Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Unnamed: 19_level_0,Unnamed: 20_level_0
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
1.0,Marvin Harrison,30.0,IND,WR,16.0,16.0,205.0,143.0,1722.0,12.0,11.0,92.0,58.0,69.0,8.9,107.6,69.8,8.4,0.0,"PB,AP-1,AP OPoY-2"
2.0,Hines Ward,26.0,PIT,WR,16.0,16.0,160.0,112.0,1329.0,11.9,12.0,65.0,58.1,72.0,7.0,83.1,70.0,8.3,1.0,"PB,AP-2"
3.0,Randy Moss,25.0,MIN,WR,16.0,16.0,185.0,106.0,1347.0,12.7,7.0,67.0,48.6,60.0,6.6,84.2,57.3,7.3,1.0,PB
4.0,Eric Moulds,29.0,BUF,WR,16.0,15.0,180.0,100.0,1292.0,12.9,10.0,66.0,46.1,70.0,6.3,80.8,55.6,7.2,1.0,"PB,AP-2"
5.0,Terrell Owens,29.0,SFO,WR,14.0,14.0,159.0,100.0,1300.0,13.0,13.0,63.0,52.8,76.0,7.1,92.9,62.9,8.2,0.0,"PB,AP-1"
6.0,Marty Booker,26.0,CHI,WR,16.0,16.0,168.0,97.0,1189.0,12.3,6.0,52.0,46.4,54.0,6.1,74.3,57.7,7.1,0.0,PB
7.0,Troy Brown,31.0,NWE,WR,14.0,13.0,141.0,97.0,890.0,9.2,3.0,48.0,56.0,38.0,6.9,63.6,68.8,6.3,4.0,
8.0,Peerless Price,26.0,BUF,WR,16.0,16.0,148.0,94.0,1252.0,13.3,9.0,58.0,56.1,73.0,5.9,78.3,63.5,8.5,2.0,
9.0,Jerry Rice,40.0,OAK,WR,16.0,16.0,150.0,92.0,1211.0,13.2,7.0,59.0,60.0,75.0,5.8,75.7,61.3,8.1,1.0,"PB,AP-2"
10.0,Charlie Garner,30.0,OAK,RB,16.0,15.0,111.0,91.0,941.0,10.3,4.0,47.0,64.0,69.0,5.7,58.8,82.0,8.5,0.0,
11.0,Torry Holt,26.0,STL,WR,16.0,11.0,160.0,91.0,1302.0,14.3,4.0,71.0,53.8,58.0,5.7,81.4,56.9,8.1,1.0,
12.0,Laveranues Coles,25.0,NYJ,WR,16.0,16.0,134.0,89.0,1264.0,14.2,5.0,67.0,63.4,43.0,5.6,79.0,66.4,9.4,1.0,
13.0,Rod Smith,32.0,DEN,WR,16.0,16.0,147.0,89.0,1027.0,11.5,5.0,54.0,51.0,46.0,5.6,64.2,60.5,7.0,1.0,
14.0,Joe Horn,30.0,NOR,WR,16.0,16.0,149.0,88.0,1312.0,14.9,7.0,65.0,53.0,63.0,5.5,82.0,59.1,8.8,1.0,PB
15.0,Amani Toomer,28.0,NYG,WR,16.0,16.0,134.0,82.0,1343.0,16.4,8.0,59.0,58.2,82.0,5.1,83.9,61.2,10.0,0.0,
16.0,Tim Brown,36.0,OAK,WR,16.0,16.0,127.0,81.0,930.0,11.5,2.0,46.0,58.3,45.0,5.1,58.1,63.8,7.3,3.0,
17.0,Marshall Faulk,29.0,STL,RB,14.0,10.0,102.0,80.0,537.0,6.7,2.0,23.0,44.1,40.0,5.7,38.4,78.4,5.3,4.0,PB
18.0,Jimmy Smith,33.0,JAX,WR,16.0,16.0,137.0,80.0,1027.0,12.8,7.0,53.0,48.2,47.0,5.0,64.2,58.4,7.5,0.0,
19.0,Isaac Bruce,30.0,STL,WR,16.0,16.0,130.0,79.0,1075.0,13.6,7.0,50.0,53.1,34.0,4.9,67.2,60.8,8.3,2.0,
20.0,Derrick Mason,28.0,TEN,WR,14.0,14.0,125.0,79.0,1012.0,12.8,5.0,56.0,55.2,40.0,5.6,72.3,63.2,8.1,2.0,
21.0,LaDainian Tomlinson,23.0,SDG,RB,16.0,16.0,101.0,79.0,489.0,6.2,1.0,21.0,44.6,30.0,4.9,30.6,78.2,4.8,3.0,"PB,AP-2"
22.0,Plaxico Burress,25.0,PIT,WR,16.0,15.0,144.0,78.0,1325.0,17.0,7.0,64.0,54.2,62.0,4.9,82.8,54.2,9.2,2.0,
23.0,Koren Robinson,22.0,SEA,WR,16.0,16.0,141.0,78.0,1240.0,15.9,5.0,58.0,48.9,83.0,4.9,77.5,55.3,8.8,2.0,
24.0,Keyshawn Johnson,30.0,TAM,WR,16.0,16.0,142.0,76.0,1088.0,14.3,5.0,53.0,50.7,76.0,4.8,68.0,53.5,7.7,0.0,
25.0,Jeremy Shockey,22.0,NYG,TE,15.0,14.0,128.0,74.0,894.0,12.1,2.0,49.0,49.2,30.0,4.9,59.6,57.8,7.0,3.0,"PB,AP-1,AP ORoY-2"
26.0,Tai Streets,25.0,SFO,WR,16.0,14.0,109.0,72.0,756.0,10.5,5.0,46.0,51.4,47.0,4.5,47.3,66.1,6.9,1.0,
27.0,Rod Gardner,25.0,WAS,WR,16.0,15.0,141.0,71.0,1006.0,14.2,8.0,51.0,46.8,43.0,4.4,62.9,50.4,7.1,1.0,
28.0,Donald Driver,27.0,GNB,WR,16.0,16.0,113.0,70.0,1064.0,15.2,9.0,47.0,56.6,85.0,4.4,66.5,61.9,9.4,1.0,PB
29.0,Priest Holmes,29.0,KAN,RB,14.0,14.0,81.0,70.0,672.0,9.6,3.0,31.0,56.8,64.0,5.0,48.0,86.4,8.3,1.0,"PB,AP-1,AP MVP-4,AP OPoY-1"
30.0,Tiki Barber,27.0,NYG,RB,16.0,15.0,95.0,69.0,597.0,8.7,0.0,24.0,44.2,38.0,4.3,37.3,72.6,6.3,9.0,
31.0,Chad Johnson,24.0,CIN,WR,16.0,14.0,137.0,69.0,1166.0,16.9,5.0,58.0,48.2,72.0,4.3,72.9,50.4,8.5,0.0,
32.0,Ed McCaffrey,34.0,DEN,WR,16.0,16.0,103.0,69.0,903.0,13.1,2.0,44.0,57.3,69.0,4.3,56.4,67.0,8.8,1.0,
33.0,Todd Heap,22.0,BAL,TE,16.0,16.0,122.0,68.0,836.0,12.3,6.0,45.0,46.7,43.0,4.3,52.3,55.7,6.9,0.0,PB
34.0,Kevin Johnson,26.0,CLE,WR,16.0,15.0,120.0,67.0,703.0,10.5,4.0,39.0,43.3,30.0,4.2,43.9,55.8,5.9,0.0,
35.0,Tony Gonzalez,26.0,KAN,TE,16.0,16.0,99.0,63.0,773.0,12.3,7.0,39.0,53.5,42.0,3.9,48.3,63.6,7.8,0.0,"PB,AP-2"
36.0,Muhsin Muhammad,29.0,CAR,WR,14.0,14.0,108.0,63.0,823.0,13.1,3.0,40.0,50.0,42.0,4.5,58.8,58.3,7.6,0.0,
37.0,Jamel White,25.0,CLE,RB,14.0,6.0,86.0,63.0,452.0,7.2,0.0,15.0,32.6,33.0,4.5,32.3,73.3,5.3,0.0,
38.0,Darrell Jackson,24.0,SEA,WR,13.0,13.0,112.0,62.0,877.0,14.1,4.0,37.0,47.3,48.0,4.8,67.5,55.4,7.8,3.0,
39.0,Joey Galloway,31.0,DAL,WR,16.0,16.0,120.0,61.0,908.0,14.9,6.0,33.0,43.3,80.0,3.8,56.8,50.8,7.6,2.0,
40.0,Edgerrin James,24.0,IND,RB,14.0,14.0,80.0,61.0,354.0,5.8,1.0,17.0,36.3,23.0,4.4,25.3,76.3,4.4,4.0,AP CPoY-5
41.0,Keenan McCardell,32.0,TAM,WR,14.0,14.0,101.0,61.0,670.0,11.0,6.0,31.0,51.5,65.0,4.4,47.9,60.4,6.6,1.0,
42.0,David Patten,28.0,NWE,WR,16.0,14.0,120.0,61.0,824.0,13.5,5.0,39.0,45.0,39.0,3.8,51.5,50.8,6.9,0.0,
43.0,Shannon Sharpe,34.0,DEN,TE,13.0,13.0,88.0,61.0,686.0,11.2,3.0,32.0,58.0,82.0,4.7,52.8,69.3,7.8,0.0,
44.0,Travis Taylor,24.0,BAL,WR,16.0,15.0,118.0,61.0,869.0,14.2,6.0,40.0,48.3,64.0,3.8,54.3,51.7,7.4,0.0,
45.0,Todd Pinkston,25.0,PHI,WR,15.0,15.0,113.0,60.0,798.0,13.3,7.0,40.0,44.2,42.0,4.0,53.2,53.1,7.1,2.0,
46.0,Shaun Alexander,25.0,SEA,RB,16.0,16.0,78.0,59.0,460.0,7.8,2.0,20.0,43.6,80.0,3.7,28.8,75.6,5.9,3.0,
47.0,Michael Pittman,27.0,TAM,RB,16.0,15.0,86.0,59.0,477.0,8.1,0.0,19.0,40.7,64.0,3.7,29.8,68.6,5.5,3.0,
48.0,Curtis Conway,31.0,SDG,WR,13.0,13.0,94.0,57.0,852.0,14.9,5.0,42.0,53.2,52.0,4.4,65.5,60.6,9.1,2.0,
49.0,Ahman Green,25.0,GNB,RB,14.0,14.0,74.0,57.0,393.0,6.9,2.0,19.0,48.6,23.0,4.1,28.1,77.0,5.3,4.0,PB
50.0,Brian Finneran,26.0,ATL,WR,16.0,16.0,102.0,56.0,838.0,15.0,6.0,41.0,48.0,47.0,3.5,52.4,54.9,8.2,2.0,
51.0,Terry Glenn,28.0,GNB,WR,15.0,14.0,106.0,56.0,817.0,14.6,2.0,43.0,46.2,49.0,3.7,54.5,52.8,7.7,1.0,
52.0,Quincy Morgan,25.0,CLE,WR,16.0,16.0,97.0,56.0,964.0,17.2,7.0,34.0,50.5,78.0,3.5,60.3,57.7,9.9,2.0,
53.0,Bubba Franks,24.0,GNB,TE,16.0,15.0,71.0,54.0,442.0,8.2,7.0,28.0,70.4,20.0,3.4,27.6,76.1,6.2,0.0,PB
54.0,Steve Smith Sr.,23.0,CAR,WR,15.0,13.0,98.0,54.0,872.0,16.1,3.0,33.0,45.9,69.0,3.6,58.1,55.1,8.9,5.0,
55.0,Eddie Kennison,29.0,KAN,WR,16.0,14.0,92.0,53.0,906.0,17.1,2.0,44.0,55.4,64.0,3.3,56.6,57.6,9.8,0.0,
56.0,Derrius Thompson,25.0,WAS,WR,16.0,14.0,93.0,53.0,773.0,14.6,4.0,35.0,50.5,47.0,3.3,48.3,57.0,8.3,2.0,
57.0,Peter Warrick,25.0,CIN,WR,15.0,10.0,81.0,53.0,606.0,11.4,6.0,27.0,54.3,37.0,3.5,40.4,65.4,7.5,2.0,
58.0,Chris Chambers,24.0,MIA,WR,15.0,15.0,100.0,52.0,734.0,14.1,3.0,38.0,47.0,59.0,3.5,48.9,52.0,7.3,1.0,
59.0,James Thrash,27.0,PHI,WR,16.0,16.0,107.0,52.0,635.0,12.2,6.0,26.0,41.1,39.0,3.3,39.7,48.6,5.9,1.0,
60.0,Wayne Chrebet,29.0,NYJ,WR,15.0,15.0,80.0,51.0,691.0,13.5,9.0,38.0,56.3,37.0,3.4,46.1,63.8,8.6,2.0,
