Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Unnamed: 16_level_0,Unnamed: 17_level_0
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
1.0,Eddie George,27.0,TEN,RB,16.0,16.0,403.0,1509.0,14.0,78.0,41.4,35.0,3.7,94.3,25.2,5.0,"PB,AP-1,AP MVP-3,AP OPoY-2"
2.0,Edgerrin James,22.0,IND,RB,16.0,16.0,387.0,1709.0,13.0,100.0,53.0,30.0,4.4,106.8,24.2,5.0,"PB,AP-2,AP OPoY-2"
3.0,Jerome Bettis,28.0,PIT,RB,16.0,16.0,355.0,1341.0,8.0,72.0,47.3,30.0,3.8,83.8,22.2,1.0,
4.0,James Stewart,29.0,DET,RB,16.0,16.0,339.0,1184.0,10.0,66.0,46.3,34.0,3.5,74.0,21.2,4.0,
5.0,Stephen Davis,26.0,WAS,RB,15.0,15.0,332.0,1318.0,11.0,72.0,46.7,50.0,4.0,87.9,22.1,4.0,PB
6.0,Curtis Martin,27.0,NYJ,RB,16.0,16.0,316.0,1204.0,9.0,64.0,38.9,55.0,3.8,75.3,19.8,2.0,
7.0,Corey Dillon,26.0,CIN,RB,16.0,16.0,315.0,1435.0,7.0,71.0,44.8,80.0,4.6,89.7,19.7,4.0,PB
8.0,Jamal Lewis,21.0,BAL,RB,16.0,13.0,309.0,1364.0,6.0,62.0,47.9,45.0,4.4,85.3,19.3,6.0,AP ORoY-2
9.0,Lamar Smith,30.0,MIA,RB,15.0,15.0,309.0,1139.0,14.0,65.0,45.3,68.0,3.7,75.9,20.6,3.0,AP CPoY-5
10.0,Mike Anderson,27.0,DEN,RB,16.0,12.0,297.0,1487.0,15.0,78.0,46.1,80.0,5.0,92.9,18.6,4.0,AP ORoY-1
11.0,Robert Smith,28.0,MIN,RB,16.0,16.0,295.0,1521.0,7.0,63.0,50.5,72.0,5.2,95.1,18.4,4.0,"PB,AP-2,AP OPoY-5"
12.0,Emmitt Smith,31.0,DAL,RB,16.0,16.0,294.0,1203.0,9.0,66.0,46.3,52.0,4.1,75.2,18.4,6.0,
13.0,Fred Taylor,24.0,JAX,RB,13.0,13.0,292.0,1399.0,12.0,73.0,46.9,71.0,4.8,107.6,22.5,4.0,
14.0,James Allen,25.0,CHI,RB,16.0,15.0,290.0,1120.0,2.0,56.0,45.9,29.0,3.9,70.0,18.1,5.0,
15.0,Jamal Anderson,28.0,ATL,RB,16.0,16.0,282.0,1024.0,6.0,52.0,42.9,42.0,3.6,64.0,17.6,6.0,AP CPoY-12
16.0,Ricky Watters,31.0,SEA,RB,16.0,16.0,278.0,1242.0,7.0,60.0,42.8,55.0,4.5,77.6,17.4,5.0,AP CPoY-12
17.0,Ahman Green,23.0,GNB,RB,16.0,11.0,263.0,1175.0,10.0,62.0,47.1,39.0,4.5,73.4,16.4,6.0,AP CPoY-12
18.0,Charlie Garner,28.0,SFO,RB,16.0,15.0,258.0,1142.0,7.0,57.0,45.0,42.0,4.4,71.4,16.1,4.0,PB
19.0,Marshall Faulk,27.0,STL,RB,14.0,14.0,253.0,1359.0,18.0,78.0,55.7,36.0,5.4,97.1,18.1,0.0,"PB,AP-1,AP MVP-1,AP OPoY-1"
20.0,Warrick Dunn,25.0,TAM,RB,16.0,14.0,248.0,1133.0,8.0,43.0,43.5,70.0,4.6,70.8,15.5,1.0,PB
21.0,Ricky Williams,23.0,NOR,RB,10.0,10.0,248.0,1000.0,8.0,56.0,44.4,26.0,4.0,100.0,24.8,6.0,
22.0,Tyrone Wheatley,28.0,OAK,RB,14.0,13.0,232.0,1046.0,9.0,52.0,45.7,80.0,4.5,74.7,16.6,4.0,
23.0,Ron Dayne,22.0,NYG,RB,16.0,4.0,228.0,770.0,5.0,48.0,43.4,50.0,3.4,48.1,14.3,1.0,
24.0,Tiki Barber,25.0,NYG,RB,16.0,12.0,213.0,1006.0,8.0,39.0,40.8,78.0,4.7,62.9,13.3,9.0,
25.0,Michael Pittman,25.0,ARI,RB,16.0,12.0,184.0,719.0,4.0,36.0,44.0,29.0,3.9,44.9,11.5,5.0,
26.0,Tim Biakabutuka,26.0,CAR,RB,12.0,11.0,173.0,627.0,2.0,29.0,38.7,43.0,3.6,52.3,14.4,4.0,
27.0,Travis Prentice,24.0,CLE,RB,16.0,11.0,173.0,512.0,7.0,30.0,36.4,17.0,3.0,32.0,10.8,2.0,
28.0,Kevin Faulk,24.0,NWE,RB,16.0,9.0,164.0,570.0,4.0,32.0,39.6,18.0,3.5,35.6,10.3,6.0,
29.0,Shawn Bryson,24.0,BUF,RB,16.0,7.0,161.0,591.0,0.0,32.0,36.6,24.0,3.7,36.9,10.1,1.0,
30.0,Tony Richardson,29.0,KAN,FB,16.0,16.0,147.0,697.0,3.0,35.0,46.9,33.0,4.7,43.6,9.2,3.0,
31.0,Priest Holmes,27.0,BAL,RB,16.0,2.0,137.0,588.0,2.0,38.0,51.1,21.0,4.3,36.8,8.6,2.0,
32.0,Mike Alstott,27.0,TAM,FB,13.0,13.0,131.0,465.0,5.0,37.0,51.1,20.0,3.5,35.8,10.1,3.0,PB
33.0,J.R. Redmond,23.0,NWE,RB,12.0,5.0,125.0,406.0,1.0,14.0,35.2,20.0,3.2,33.8,10.4,2.0,
34.0,Jermaine Fazande,25.0,SDG,RB,13.0,7.0,119.0,368.0,2.0,22.0,36.1,26.0,3.1,28.3,9.2,1.0,
35.0,Terrell Fletcher,27.0,SDG,RB,16.0,6.0,116.0,384.0,3.0,18.0,36.2,21.0,3.3,24.0,7.3,2.0,
36.0,Darnell Autry,24.0,PHI,RB,11.0,7.0,112.0,334.0,3.0,17.0,41.1,15.0,3.0,30.4,10.2,2.0,
37.0,Thomas Jones,22.0,ARI,RB,14.0,4.0,112.0,373.0,2.0,23.0,45.5,29.0,3.3,26.6,8.0,4.0,
38.0,Antowain Smith,28.0,BUF,RB,11.0,3.0,101.0,354.0,4.0,19.0,42.6,59.0,3.5,32.2,9.2,1.0,
39.0,Napoleon Kaufman,27.0,OAK,RB,14.0,2.0,93.0,499.0,0.0,22.0,40.9,60.0,5.4,35.6,6.6,1.0,
