Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
1.0,Michael Turner,26.0,ATL,RB,16.0,16.0,376.0,1699.0,17.0,85.0,46.5,70.0,4.5,106.2,23.5,3.0,"PB,AP-1,AP MVP-2,AP OPoY-6"
2.0,Adrian Peterson,23.0,MIN,RB,16.0,15.0,363.0,1760.0,10.0,82.0,45.5,67.0,4.8,110.0,22.7,9.0,"PB,AP-1,AP MVP-4,AP OPoY-2"
3.0,Clinton Portis,27.0,WAS,RB,16.0,16.0,342.0,1487.0,9.0,78.0,46.8,31.0,4.3,92.9,21.4,3.0,"PB,AP-2"
4.0,Matt Forte,23.0,CHI,RB,16.0,16.0,316.0,1238.0,8.0,65.0,40.5,50.0,3.9,77.4,19.8,1.0,AP ORoY-4
5.0,Ryan Grant,26.0,GNB,RB,16.0,14.0,312.0,1203.0,4.0,54.0,44.6,57.0,3.9,75.2,19.5,4.0,
6.0,LaDainian Tomlinson,29.0,SDG,RB,16.0,16.0,292.0,1110.0,11.0,52.0,43.2,45.0,3.8,69.4,18.3,1.0,
7.0,Thomas Jones,30.0,NYJ,RB,16.0,14.0,290.0,1312.0,13.0,63.0,51.4,59.0,4.5,82.0,18.1,2.0,PB
8.0,Jamal Lewis,29.0,CLE,RB,16.0,16.0,279.0,1002.0,4.0,43.0,38.7,29.0,3.6,62.6,17.4,2.0,
9.0,DeAngelo Williams,25.0,CAR,RB,16.0,16.0,273.0,1515.0,18.0,65.0,44.3,69.0,5.5,94.7,17.1,0.0,"AP-2,AP OPoY-5"
10.0,Steve Slaton,22.0,HOU,RB,16.0,15.0,268.0,1282.0,9.0,62.0,43.3,71.0,4.8,80.1,16.8,3.0,
11.0,Steven Jackson,25.0,STL,RB,12.0,11.0,253.0,1042.0,7.0,57.0,44.3,56.0,4.1,86.8,21.1,5.0,
12.0,Chris Johnson,23.0,TEN,RB,15.0,14.0,251.0,1228.0,9.0,54.0,42.6,66.0,4.9,81.9,16.7,1.0,"PB,AP MVP-7,AP ORoY-2"
13.0,Marshawn Lynch,22.0,BUF,RB,15.0,15.0,250.0,1036.0,8.0,53.0,46.8,50.0,4.1,69.1,16.7,2.0,PB
14.0,Frank Gore,25.0,SFO,RB,14.0,14.0,240.0,1036.0,6.0,44.0,45.8,41.0,4.3,74.0,17.1,6.0,
15.0,Marion Barber III,25.0,DAL,RB,15.0,13.0,238.0,885.0,7.0,57.0,39.5,35.0,3.7,59.0,15.9,7.0,
16.0,Kevin Smith,22.0,DET,RB,16.0,12.0,238.0,976.0,8.0,51.0,44.1,50.0,4.1,61.0,14.9,2.0,
17.0,Brian Westbrook,29.0,PHI,RB,14.0,14.0,233.0,936.0,9.0,49.0,45.9,39.0,4.0,66.9,16.6,2.0,
18.0,Le'Ron McClain,24.0,BAL,FB,16.0,16.0,232.0,902.0,10.0,53.0,45.7,82.0,3.9,56.4,14.5,4.0,"PB,AP-1"
19.0,Brandon Jacobs,26.0,NYG,RB,13.0,13.0,219.0,1089.0,15.0,58.0,50.2,44.0,5.0,83.8,16.8,3.0,
20.0,Justin Fargas,28.0,OAK,RB,14.0,14.0,218.0,853.0,1.0,33.0,43.1,42.0,3.9,60.9,15.6,3.0,
21.0,Cedric Benson,26.0,CIN,RB,12.0,10.0,214.0,747.0,2.0,36.0,39.3,46.0,3.5,62.3,17.8,2.0,
22.0,Ronnie Brown,27.0,MIA,RB,16.0,13.0,214.0,916.0,10.0,49.0,47.2,62.0,4.3,57.3,13.4,1.0,"PB,AP CPoY-8"
23.0,Willie Parker,28.0,PIT,RB,11.0,11.0,210.0,791.0,5.0,29.0,41.0,34.0,3.8,71.9,19.1,0.0,
24.0,LenDale White,24.0,TEN,RB,16.0,2.0,200.0,773.0,15.0,43.0,50.0,80.0,3.9,48.3,12.5,1.0,
25.0,Maurice Jones-Drew,23.0,JAX,RB,16.0,3.0,197.0,824.0,12.0,49.0,46.2,46.0,4.2,51.5,12.3,6.0,
26.0,Larry Johnson,29.0,KAN,RB,12.0,12.0,193.0,874.0,5.0,44.0,43.5,65.0,4.5,72.8,16.1,5.0,
27.0,Warrick Dunn,33.0,TAM,RB,15.0,6.0,186.0,786.0,2.0,31.0,44.6,40.0,4.2,52.4,12.4,0.0,
28.0,Jonathan Stewart,21.0,CAR,RB,16.0,0.0,184.0,836.0,10.0,42.0,41.8,41.0,4.5,52.3,11.5,2.0,
29.0,Derrick Ward,28.0,NYG,RB,16.0,3.0,182.0,1025.0,2.0,53.0,50.0,51.0,5.6,64.1,11.4,2.0,
30.0,Willis McGahee,27.0,BAL,RB,13.0,8.0,170.0,671.0,7.0,36.0,43.5,77.0,3.9,51.6,13.1,3.0,
31.0,Ricky Williams,31.0,MIA,RB,16.0,3.0,160.0,659.0,4.0,36.0,45.6,51.0,4.1,41.2,10.0,5.0,
32.0,Julius Jones,27.0,SEA,RB,15.0,10.0,158.0,698.0,2.0,30.0,39.2,33.0,4.4,46.5,10.5,4.0,
33.0,Sammy Morris,31.0,NWE,RB,13.0,7.0,156.0,727.0,7.0,46.0,49.4,35.0,4.7,55.9,12.0,1.0,
34.0,Joseph Addai,25.0,IND,RB,12.0,12.0,155.0,544.0,5.0,34.0,47.1,23.0,3.5,45.3,12.9,1.0,
35.0,Dominic Rhodes,29.0,IND,RB,15.0,4.0,152.0,538.0,6.0,27.0,47.4,38.0,3.5,35.9,10.1,0.0,
36.0,Tim Hightower,22.0,ARI,RB,16.0,7.0,143.0,399.0,10.0,34.0,36.4,30.0,2.8,24.9,8.9,2.0,
37.0,Fred Taylor,32.0,JAX,RB,13.0,13.0,143.0,556.0,1.0,24.0,38.5,34.0,3.9,42.8,11.0,1.0,
38.0,Mewelde Moore,26.0,PIT,RB,16.0,4.0,140.0,588.0,5.0,36.0,50.0,32.0,4.2,36.8,8.8,2.0,
39.0,Edgerrin James,30.0,ARI,RB,13.0,7.0,133.0,514.0,3.0,25.0,41.4,35.0,3.9,39.5,10.2,2.0,
40.0,Earnest Graham,28.0,TAM,RB,10.0,10.0,132.0,563.0,4.0,26.0,47.7,68.0,4.3,56.3,13.2,2.0,
41.0,Maurice Morris,29.0,SEA,RB,13.0,6.0,132.0,574.0,0.0,29.0,43.9,45.0,4.3,44.2,10.2,1.0,
42.0,Fred Jackson,27.0,BUF,RB,16.0,3.0,130.0,571.0,3.0,33.0,48.5,32.0,4.4,35.7,8.1,3.0,
43.0,Pierre Thomas,24.0,NOR,RB,15.0,5.0,129.0,625.0,9.0,43.0,58.9,42.0,4.8,41.7,8.6,1.0,
44.0,Darren McFadden,21.0,OAK,RB,13.0,5.0,113.0,499.0,4.0,25.0,37.2,50.0,4.4,38.4,8.7,3.0,
45.0,Deuce McAllister,30.0,NOR,RB,13.0,6.0,107.0,418.0,5.0,24.0,55.1,19.0,3.9,32.2,8.2,0.0,
