Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
1.0,Wes Welker,28.0,NWE,WR,14.0,13.0,162.0,123.0,1348.0,11.0,4.0,71.0,66.0,58.0,8.8,96.3,75.9,8.3,2.0,"PB,AP-1"
2.0,Steve Smith,24.0,NYG,WR,16.0,15.0,157.0,107.0,1220.0,11.4,7.0,62.0,58.0,51.0,6.7,76.3,68.2,7.8,0.0,PB
3.0,Andre Johnson,28.0,HOU,WR,16.0,16.0,171.0,101.0,1569.0,15.5,9.0,70.0,49.1,72.0,6.3,98.1,59.1,9.2,1.0,"PB,AP-1"
4.0,Brandon Marshall,25.0,DEN,WR,15.0,13.0,154.0,101.0,1120.0,11.1,10.0,55.0,45.5,75.0,6.7,74.7,65.6,7.3,0.0,PB
5.0,Dallas Clark,30.0,IND,TE,16.0,16.0,133.0,100.0,1106.0,11.1,10.0,61.0,60.9,80.0,6.3,69.1,75.2,8.3,1.0,"PB,AP-1"
6.0,Reggie Wayne,31.0,IND,WR,16.0,16.0,149.0,100.0,1264.0,12.6,10.0,73.0,59.1,65.0,6.3,79.0,67.1,8.5,0.0,"PB,AP-2"
7.0,Larry Fitzgerald,26.0,ARI,WR,16.0,16.0,153.0,97.0,1092.0,11.3,13.0,68.0,53.6,34.0,6.1,68.3,63.4,7.1,0.0,"PB,AP-2"
8.0,Hines Ward,33.0,PIT,WR,16.0,16.0,137.0,95.0,1167.0,12.3,6.0,56.0,57.7,54.0,5.9,72.9,69.3,8.5,2.0,
9.0,Jason Witten,27.0,DAL,TE,16.0,16.0,124.0,94.0,1030.0,11.0,2.0,49.0,58.9,69.0,5.9,64.4,75.8,8.3,0.0,PB
10.0,Roddy White,28.0,ATL,WR,16.0,16.0,165.0,85.0,1153.0,13.6,11.0,54.0,43.0,90.0,5.3,72.1,51.5,7.0,1.0,PB
11.0,Anquan Boldin,29.0,ARI,WR,15.0,15.0,127.0,84.0,1024.0,12.2,4.0,49.0,55.9,44.0,5.6,68.3,66.1,8.1,3.0,
12.0,Tony Gonzalez,33.0,ATL,TE,16.0,16.0,134.0,83.0,867.0,10.4,6.0,55.0,54.5,27.0,5.2,54.2,61.9,6.5,0.0,
13.0,Randy Moss,32.0,NWE,WR,16.0,16.0,137.0,83.0,1264.0,15.2,13.0,62.0,57.7,71.0,5.2,79.0,60.6,9.2,2.0,
14.0,Sidney Rice,23.0,MIN,WR,16.0,14.0,121.0,83.0,1312.0,15.8,8.0,60.0,63.6,63.0,5.2,82.0,68.6,10.8,1.0,PB
