Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Unnamed: 19_level_0,Unnamed: 20_level_0
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
1.0,Larry Fitzgerald,22.0,ARI,WR,16.0,16.0,165.0,103.0,1409.0,13.7,10.0,68.0,52.1,47.0,6.4,88.1,62.4,8.5,0.0,PB
2.0,Steve Smith Sr.,26.0,CAR,WR,16.0,16.0,150.0,103.0,1563.0,15.2,12.0,72.0,58.0,80.0,6.4,97.7,68.7,10.4,2.0,"PB,AP-1,AP CPoY-1"
3.0,Anquan Boldin,25.0,ARI,WR,14.0,14.0,171.0,102.0,1402.0,13.7,7.0,69.0,52.6,54.0,7.3,100.1,59.6,8.2,2.0,
4.0,Torry Holt,29.0,STL,WR,14.0,14.0,163.0,102.0,1331.0,13.0,9.0,63.0,52.1,44.0,7.3,95.1,62.6,8.2,2.0,PB
5.0,Chad Johnson,27.0,CIN,WR,16.0,16.0,155.0,97.0,1432.0,14.8,9.0,74.0,60.0,70.0,6.1,89.5,62.6,9.2,1.0,"PB,AP-1"
6.0,Antonio Gates,25.0,SDG,TE,15.0,15.0,140.0,89.0,1101.0,12.4,10.0,62.0,53.6,38.0,5.9,73.4,63.6,7.9,0.0,"PB,AP-1"
7.0,Donald Driver,30.0,GNB,WR,16.0,16.0,146.0,86.0,1221.0,14.2,5.0,63.0,53.4,59.0,5.4,76.3,58.9,8.4,0.0,
8.0,Derrick Mason,31.0,BAL,WR,16.0,16.0,137.0,86.0,1073.0,12.5,3.0,53.0,47.4,39.0,5.4,67.1,62.8,7.8,1.0,
9.0,Rod Smith,35.0,DEN,WR,16.0,16.0,126.0,85.0,1105.0,13.0,6.0,55.0,60.3,72.0,5.3,69.1,67.5,8.8,2.0,PB
10.0,Santana Moss,26.0,WAS,WR,16.0,16.0,134.0,84.0,1483.0,17.7,9.0,61.0,51.5,78.0,5.3,92.7,62.7,11.1,3.0,"PB,AP-2"
11.0,Joey Galloway,34.0,TAM,WR,16.0,16.0,152.0,83.0,1287.0,15.5,10.0,56.0,47.4,80.0,5.2,80.4,54.6,8.5,0.0,AP CPoY-5
12.0,Reggie Wayne,27.0,IND,WR,16.0,16.0,122.0,83.0,1055.0,12.7,5.0,55.0,61.5,66.0,5.2,65.9,68.0,8.6,1.0,
13.0,Chris Chambers,27.0,MIA,WR,16.0,16.0,166.0,82.0,1118.0,13.6,11.0,59.0,45.2,77.0,5.1,69.9,49.4,6.7,5.0,PB
14.0,Marvin Harrison,33.0,IND,WR,15.0,15.0,134.0,82.0,1146.0,14.0,12.0,58.0,56.0,80.0,5.5,76.4,61.2,8.6,0.0,"PB,AP-2"
15.0,Eric Moulds,32.0,BUF,WR,15.0,15.0,129.0,81.0,816.0,10.1,4.0,39.0,49.6,55.0,5.4,54.4,62.8,6.3,0.0,
16.0,Deion Branch,26.0,NWE,WR,16.0,15.0,125.0,78.0,998.0,12.8,5.0,53.0,56.0,51.0,4.9,62.4,62.4,8.0,0.0,
17.0,Tony Gonzalez,29.0,KAN,TE,16.0,16.0,116.0,78.0,905.0,11.6,2.0,45.0,51.7,39.0,4.9,56.6,67.2,7.8,0.0,PB
18.0,T.J. Houshmandzadeh,28.0,CIN,WR,14.0,12.0,115.0,78.0,956.0,12.3,7.0,52.0,60.0,43.0,5.6,68.3,67.8,8.3,1.0,
19.0,Plaxico Burress,28.0,NYG,WR,16.0,15.0,166.0,76.0,1214.0,16.0,7.0,48.0,41.6,78.0,4.8,75.9,45.8,7.3,1.0,
20.0,Jerry Porter,27.0,OAK,WR,16.0,14.0,142.0,76.0,942.0,12.4,5.0,44.0,47.2,49.0,4.8,58.9,53.5,6.6,1.0,
21.0,Todd Heap,25.0,BAL,TE,16.0,16.0,114.0,75.0,855.0,11.4,7.0,45.0,49.1,48.0,4.7,53.4,65.8,7.5,2.0,
22.0,Laveranues Coles,28.0,NYJ,WR,16.0,16.0,132.0,73.0,845.0,11.6,5.0,53.0,47.7,43.0,4.6,52.8,55.3,6.4,1.0,
23.0,Chris Cooley,23.0,WAS,TE,16.0,16.0,103.0,71.0,774.0,10.9,7.0,44.0,58.3,32.0,4.4,48.4,68.9,7.5,3.0,
24.0,Keyshawn Johnson,33.0,DAL,WR,16.0,14.0,123.0,71.0,839.0,11.8,6.0,47.0,50.4,34.0,4.4,52.4,57.7,6.8,3.0,
25.0,LaMont Jordan,27.0,OAK,RB,14.0,14.0,103.0,70.0,563.0,8.0,2.0,26.0,43.7,28.0,5.0,40.2,68.0,5.5,2.0,
26.0,Keenan McCardell,35.0,SDG,WR,16.0,16.0,108.0,70.0,917.0,13.1,9.0,50.0,58.3,54.0,4.4,57.3,64.8,8.5,0.0,
27.0,Jimmy Smith,36.0,JAX,WR,16.0,16.0,128.0,70.0,1023.0,14.6,6.0,55.0,49.2,45.0,4.4,63.9,54.7,8.0,0.0,
28.0,Donte' Stallworth,25.0,NOR,WR,16.0,13.0,129.0,70.0,945.0,13.5,7.0,51.0,47.3,43.0,4.4,59.1,54.3,7.3,1.0,
29.0,Antonio Bryant,24.0,CLE,WR,16.0,15.0,123.0,69.0,1009.0,14.6,4.0,44.0,49.6,54.0,4.3,63.1,56.1,8.2,1.0,
30.0,Hines Ward,29.0,PIT,WR,15.0,15.0,114.0,69.0,975.0,14.1,11.0,52.0,57.9,85.0,4.6,65.0,60.5,8.6,1.0,
31.0,Jermaine Wiggins,30.0,MIN,TE,16.0,8.0,92.0,69.0,568.0,8.2,1.0,31.0,51.1,24.0,4.3,35.5,75.0,6.2,0.0,
32.0,Eddie Kennison,32.0,KAN,WR,16.0,16.0,108.0,68.0,1102.0,16.2,5.0,47.0,58.3,55.0,4.3,68.9,63.0,10.2,1.0,
33.0,Bobby Engram,32.0,SEA,WR,13.0,13.0,97.0,67.0,778.0,11.6,3.0,43.0,61.9,56.0,5.2,59.8,69.1,8.0,2.0,
34.0,Jason Witten,23.0,DAL,TE,16.0,16.0,89.0,66.0,757.0,11.5,6.0,41.0,60.7,34.0,4.1,47.3,74.2,8.5,0.0,PB
