Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
1.0,Andre Johnson,27.0,HOU,WR,16.0,16.0,171.0,115.0,1575.0,13.7,8.0,79.0,62.6,65.0,7.2,98.4,67.3,9.2,1.0,"PB,AP-1"
2.0,Wes Welker,27.0,NWE,WR,16.0,14.0,149.0,111.0,1165.0,10.5,3.0,57.0,58.4,64.0,6.9,72.8,74.5,7.8,1.0,"PB,AP-2"
3.0,Brandon Marshall,24.0,DEN,WR,15.0,15.0,181.0,104.0,1265.0,12.2,6.0,67.0,50.8,47.0,6.9,84.3,57.5,7.0,4.0,PB
4.0,Larry Fitzgerald,25.0,ARI,WR,16.0,16.0,154.0,96.0,1431.0,14.9,12.0,66.0,58.4,78.0,6.0,89.4,62.3,9.3,1.0,"PB,AP-1"
5.0,Tony Gonzalez,32.0,KAN,TE,16.0,16.0,155.0,96.0,1058.0,11.0,10.0,66.0,55.5,35.0,6.0,66.1,61.9,6.8,0.0,"PB,AP-1"
6.0,T.J. Houshmandzadeh,31.0,CIN,WR,15.0,15.0,137.0,92.0,904.0,9.8,4.0,51.0,54.7,46.0,6.1,60.3,67.2,6.6,0.0,
7.0,Eddie Royal,22.0,DEN,WR,15.0,15.0,129.0,91.0,980.0,10.8,5.0,43.0,60.5,93.0,6.1,65.3,70.5,7.6,2.0,
8.0,Anquan Boldin,28.0,ARI,WR,12.0,11.0,127.0,89.0,1038.0,11.7,11.0,56.0,56.7,79.0,7.4,86.5,70.1,8.2,4.0,"PB,AP CPoY-4"
9.0,Roddy White,27.0,ATL,WR,16.0,15.0,148.0,88.0,1382.0,15.7,7.0,60.0,55.4,70.0,5.5,86.4,59.5,9.3,1.0,PB
10.0,Dwayne Bowe,24.0,KAN,WR,16.0,16.0,157.0,86.0,1022.0,11.9,7.0,49.0,47.1,36.0,5.4,63.9,54.8,6.5,0.0,
11.0,Antonio Bryant,27.0,TAM,WR,16.0,15.0,138.0,83.0,1248.0,15.0,7.0,58.0,54.3,71.0,5.2,78.0,60.1,9.0,1.0,AP CPoY-4
12.0,Chris Cooley,26.0,WAS,TE,16.0,16.0,111.0,83.0,849.0,10.2,1.0,43.0,62.2,28.0,5.2,53.1,74.8,7.6,3.0,PB
13.0,Reggie Wayne,30.0,IND,WR,16.0,16.0,131.0,82.0,1145.0,14.0,6.0,65.0,58.0,65.0,5.1,71.6,62.6,8.7,0.0,PB
14.0,Hines Ward,32.0,PIT,WR,16.0,15.0,124.0,81.0,1043.0,12.9,7.0,55.0,57.3,49.0,5.1,65.2,65.3,8.4,1.0,
15.0,Jason Witten,26.0,DAL,TE,16.0,16.0,121.0,81.0,952.0,11.8,4.0,49.0,54.5,42.0,5.1,59.5,66.9,7.9,0.0,"PB,AP-2"
16.0,Greg Jennings,25.0,GNB,WR,16.0,15.0,140.0,80.0,1292.0,16.2,9.0,55.0,50.7,63.0,5.0,80.8,57.1,9.2,1.0,
17.0,Derrick Mason,34.0,BAL,WR,16.0,16.0,121.0,80.0,1037.0,13.0,5.0,60.0,57.0,54.0,5.0,64.8,66.1,8.6,2.0,
18.0,Lance Moore,25.0,NOR,WR,16.0,6.0,121.0,79.0,928.0,11.7,10.0,40.0,52.1,70.0,4.9,58.0,65.3,7.7,1.0,
19.0,Santana Moss,29.0,WAS,WR,16.0,16.0,138.0,79.0,1044.0,13.2,6.0,50.0,47.8,67.0,4.9,65.3,57.2,7.6,1.0,
20.0,Calvin Johnson,23.0,DET,WR,16.0,16.0,150.0,78.0,1331.0,17.1,12.0,52.0,47.3,96.0,4.9,83.2,52.0,8.9,3.0,
21.0,Steve Smith Sr.,29.0,CAR,WR,14.0,14.0,129.0,78.0,1421.0,18.2,6.0,59.0,56.6,65.0,5.6,101.5,60.5,11.0,1.0,"PB,AP-2,AP OPoY-6"
