Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
1.0,Michael Thomas,25.0,NOR,WR,16.0,16.0,147.0,125.0,1405.0,11.2,9.0,74.0,72.8,72.0,7.8,87.8,85.0,9.6,2.0,"PB,AP-1"
2.0,Zach Ertz,28.0,PHI,TE,16.0,16.0,156.0,116.0,1163.0,10.0,8.0,66.0,57.1,34.0,7.3,72.7,74.4,7.5,1.0,PB
3.0,DeAndre Hopkins,26.0,HOU,WR,16.0,16.0,163.0,115.0,1572.0,13.7,11.0,81.0,61.3,49.0,7.2,98.3,70.6,9.6,2.0,"PB,AP-1,AP OPoY-3"
4.0,Julio Jones,29.0,ATL,WR,16.0,16.0,170.0,113.0,1677.0,14.8,8.0,80.0,59.4,58.0,7.1,104.8,66.5,9.9,2.0,"PB,AP-2"
5.0,Adam Thielen,28.0,MIN,WR,16.0,16.0,153.0,113.0,1373.0,12.2,9.0,74.0,64.1,68.0,7.1,85.8,73.9,9.0,1.0,PB
6.0,Davante Adams,26.0,GNB,WR,15.0,15.0,169.0,111.0,1386.0,12.5,13.0,64.0,53.3,57.0,7.4,92.4,65.7,8.2,0.0,PB
7.0,JuJu Smith-Schuster,22.0,PIT,WR,16.0,13.0,166.0,111.0,1426.0,12.8,7.0,67.0,57.2,97.0,6.9,89.1,66.9,8.6,1.0,PB
8.0,Christian McCaffrey,22.0,CAR,RB,16.0,16.0,124.0,107.0,867.0,8.1,6.0,41.0,55.6,38.0,6.7,54.2,86.3,7.0,4.0,AP-2
9.0,Antonio Brown,30.0,PIT,WR,15.0,15.0,168.0,104.0,1297.0,12.5,15.0,63.0,48.8,78.0,6.9,86.5,61.9,7.7,0.0,PB
10.0,Travis Kelce,29.0,KAN,TE,16.0,16.0,150.0,103.0,1336.0,13.0,10.0,68.0,62.7,43.0,6.4,83.5,68.7,8.9,2.0,"PB,AP-1"
11.0,Stefon Diggs,25.0,MIN,WR,15.0,14.0,149.0,102.0,1021.0,10.0,9.0,49.0,48.3,75.0,6.8,68.1,68.5,6.9,0.0,
12.0,Keenan Allen,26.0,LAC,WR,16.0,14.0,136.0,97.0,1196.0,12.3,6.0,62.0,63.2,54.0,6.1,74.8,71.3,8.8,3.0,PB
13.0,Saquon Barkley,21.0,NYG,RB,16.0,16.0,121.0,91.0,721.0,7.9,4.0,30.0,38.0,57.0,5.7,45.1,75.2,6.0,0.0,"PB,AP ORoY-1"
14.0,George Kittle,25.0,SFO,TE,16.0,16.0,136.0,88.0,1377.0,15.6,5.0,60.0,56.6,85.0,5.5,86.1,64.7,10.1,0.0,"PB,AP-2"
15.0,Tyreek Hill,24.0,KAN,WR,16.0,16.0,137.0,87.0,1479.0,17.0,12.0,60.0,55.5,75.0,5.4,92.4,63.5,10.8,0.0,"PB,AP-1"
16.0,James White,26.0,NWE,RB,16.0,3.0,123.0,87.0,751.0,8.6,7.0,38.0,52.8,42.0,5.4,46.9,70.7,6.1,0.0,
17.0,Mike Evans,25.0,TAM,WR,16.0,16.0,138.0,86.0,1524.0,17.7,8.0,68.0,61.6,72.0,5.4,95.3,62.3,11.0,2.0,PB
18.0,Robert Woods,26.0,LAR,WR,16.0,16.0,130.0,86.0,1219.0,14.2,6.0,66.0,59.2,39.0,5.4,76.2,66.2,9.4,0.0,
19.0,Alvin Kamara,23.0,NOR,RB,15.0,13.0,105.0,81.0,709.0,8.8,4.0,31.0,52.4,42.0,5.4,47.3,77.1,6.8,1.0,PB
20.0,Jarvis Landry,26.0,CLE,WR,16.0,14.0,149.0,81.0,976.0,12.0,4.0,44.0,40.9,51.0,5.1,61.0,54.4,6.6,1.0,PB
21.0,Brandin Cooks,25.0,LAR,WR,16.0,16.0,117.0,80.0,1204.0,15.1,5.0,56.0,57.3,57.0,5.0,75.3,68.4,10.3,1.0,
22.0,Odell Beckham Jr.,26.0,NYG,WR,12.0,12.0,124.0,77.0,1052.0,13.7,6.0,50.0,50.8,51.0,6.4,87.7,62.1,8.5,2.0,
23.0,Ezekiel Elliott,23.0,DAL,RB,15.0,15.0,95.0,77.0,567.0,7.4,3.0,22.0,41.1,38.0,5.1,37.8,81.1,6.0,6.0,"PB,AP-2"
24.0,Tyler Boyd,24.0,CIN,WR,14.0,14.0,108.0,76.0,1028.0,13.5,7.0,54.0,63.0,49.0,5.4,73.4,70.4,9.5,0.0,
25.0,T.Y. Hilton,29.0,IND,WR,14.0,14.0,120.0,76.0,1270.0,16.7,6.0,55.0,60.0,68.0,5.4,90.7,63.3,10.6,0.0,
26.0,Adam Humphries,25.0,TAM,WR,16.0,10.0,105.0,76.0,816.0,10.7,5.0,48.0,57.1,51.0,4.8,51.0,72.4,7.8,2.0,
27.0,Amari Cooper,24.0,2TM,WR,15.0,15.0,107.0,75.0,1005.0,13.4,7.0,53.0,62.6,90.0,5.0,67.0,70.1,9.4,2.0,PB
27.0,Amari Cooper,24.0,OAK,WR,6.0,6.0,31.0,22.0,280.0,12.7,1.0,14.0,67.7,36.0,3.7,46.7,71.0,9.0,0.0,
27.0,Amari Cooper,24.0,DAL,WR,9.0,9.0,76.0,53.0,725.0,13.7,6.0,39.0,60.5,90.0,5.9,80.6,69.7,9.5,2.0,
28.0,Julian Edelman,32.0,NWE,WR,12.0,12.0,108.0,74.0,850.0,11.5,6.0,41.0,57.4,36.0,6.2,70.8,68.5,7.9,1.0,
