Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
1.0,Roddy White,29.0,ATL,WR,16.0,16.0,179.0,115.0,1389.0,12.1,10.0,73.0,54.2,46.0,7.2,86.8,64.2,7.8,1.0,"PB,AP-1,AP OPoY-5"
2.0,Reggie Wayne,32.0,IND,WR,16.0,16.0,175.0,111.0,1355.0,12.2,6.0,72.0,53.1,50.0,6.9,84.7,63.4,7.7,1.0,"PB,AP-1"
3.0,Jason Witten,28.0,DAL,TE,16.0,16.0,128.0,94.0,1002.0,10.7,9.0,42.0,53.9,33.0,5.9,62.6,73.4,7.8,1.0,"PB,AP-1"
4.0,Santana Moss,31.0,WAS,WR,16.0,16.0,145.0,93.0,1115.0,12.0,6.0,61.0,53.8,56.0,5.8,69.7,64.1,7.7,3.0,
5.0,Larry Fitzgerald,27.0,ARI,WR,16.0,15.0,173.0,90.0,1137.0,12.6,6.0,58.0,44.5,41.0,5.6,71.1,52.0,6.6,0.0,PB
6.0,Andre Johnson,29.0,HOU,WR,13.0,13.0,138.0,86.0,1216.0,14.1,8.0,59.0,54.3,60.0,6.6,93.5,62.3,8.8,1.0,PB
7.0,Brandon Marshall,26.0,MIA,WR,14.0,14.0,146.0,86.0,1014.0,11.8,3.0,56.0,51.4,46.0,6.1,72.4,58.9,6.9,2.0,
8.0,Wes Welker,29.0,NWE,WR,15.0,11.0,123.0,86.0,848.0,9.9,7.0,47.0,57.7,35.0,5.7,56.5,69.9,6.9,1.0,"PB,AP CPoY-4"
9.0,Danny Amendola,25.0,STL,WR,16.0,6.0,123.0,85.0,689.0,8.1,3.0,35.0,50.4,36.0,5.3,43.1,69.1,5.6,2.0,
10.0,Marques Colston,27.0,NOR,WR,15.0,11.0,131.0,84.0,1023.0,12.2,7.0,57.0,58.8,43.0,5.6,68.2,64.1,7.8,0.0,
11.0,Stevie Johnson,24.0,BUF,WR,16.0,13.0,141.0,82.0,1073.0,13.1,10.0,61.0,50.4,45.0,5.1,67.1,58.2,7.6,1.0,
12.0,Davone Bess,25.0,MIA,WR,16.0,8.0,125.0,79.0,820.0,10.4,5.0,42.0,48.8,29.0,4.9,51.3,63.2,6.6,3.0,
13.0,Hakeem Nicks,22.0,NYG,WR,13.0,12.0,128.0,79.0,1052.0,13.3,11.0,45.0,53.9,46.0,6.1,80.9,61.7,8.2,1.0,
14.0,LeSean McCoy,22.0,PHI,RB,15.0,13.0,91.0,78.0,592.0,7.6,2.0,29.0,59.3,40.0,5.2,39.5,85.7,6.5,2.0,
15.0,Chris Cooley,28.0,WAS,TE,16.0,16.0,126.0,77.0,849.0,11.0,3.0,40.0,49.2,35.0,4.8,53.1,61.1,6.7,3.0,
16.0,Calvin Johnson,25.0,DET,WR,15.0,15.0,137.0,77.0,1120.0,14.5,12.0,54.0,49.6,87.0,5.1,74.7,56.2,8.2,1.0,"PB,AP-2"
17.0,Brandon Lloyd,29.0,DEN,WR,16.0,11.0,153.0,77.0,1448.0,18.8,11.0,72.0,49.7,71.0,4.8,90.5,50.3,9.5,0.0,"PB,AP-2"
18.0,Greg Jennings,27.0,GNB,WR,16.0,16.0,125.0,76.0,1265.0,16.6,12.0,51.0,54.4,86.0,4.8,79.1,60.8,10.1,2.0,PB
19.0,Dwayne Bowe,26.0,KAN,WR,16.0,16.0,133.0,72.0,1162.0,16.1,15.0,55.0,50.4,75.0,4.5,72.6,54.1,8.7,1.0,"PB,AP-2"
20.0,Terrell Owens,37.0,CIN,WR,14.0,11.0,139.0,72.0,983.0,13.7,9.0,47.0,44.6,78.0,5.1,70.2,51.8,7.1,0.0,
21.0,Percy Harvin,22.0,MIN,WR,14.0,13.0,109.0,71.0,868.0,12.2,5.0,40.0,49.5,53.0,5.1,62.0,65.1,8.0,1.0,
22.0,Brandon Pettigrew,25.0,DET,TE,16.0,16.0,111.0,71.0,722.0,10.2,4.0,33.0,49.5,35.0,4.4,45.1,64.0,6.5,0.0,
23.0,Tony Gonzalez,34.0,ATL,TE,16.0,16.0,108.0,70.0,656.0,9.4,6.0,40.0,52.8,34.0,4.4,41.0,64.8,6.1,0.0,PB
24.0,Jeremy Maclin,22.0,PHI,WR,16.0,16.0,115.0,70.0,964.0,13.8,10.0,40.0,48.7,83.0,4.4,60.3,60.9,8.4,1.0,
25.0,Miles Austin,26.0,DAL,WR,16.0,16.0,119.0,69.0,1041.0,15.1,7.0,46.0,52.9,69.0,4.3,65.1,58.0,8.7,1.0,PB
26.0,Ben Watson,30.0,CLE,TE,16.0,16.0,102.0,68.0,763.0,11.2,3.0,39.0,53.9,44.0,4.3,47.7,66.7,7.5,0.0,
27.0,Pierre Garcon,24.0,IND,WR,14.0,14.0,119.0,67.0,784.0,11.7,6.0,41.0,52.9,57.0,4.8,56.0,56.3,6.6,0.0,
28.0,Chad Johnson,32.0,CIN,WR,14.0,12.0,126.0,67.0,831.0,12.4,4.0,47.0,51.6,42.0,4.8,59.4,53.2,6.6,0.0,
29.0,Jacob Tamme,25.0,IND,TE,16.0,8.0,93.0,67.0,631.0,9.4,4.0,35.0,61.3,30.0,4.2,39.4,72.0,6.8,0.0,
30.0,Arian Foster,24.0,HOU,RB,16.0,13.0,84.0,66.0,604.0,9.2,2.0,34.0,51.2,50.0,4.1,37.8,78.6,7.2,3.0,"PB,AP-1,AP OPoY-3"
31.0,Lance Moore,27.0,NOR,WR,16.0,1.0,94.0,66.0,763.0,11.6,8.0,40.0,60.6,80.0,4.1,47.7,70.2,8.1,2.0,
32.0,Mike Thomas,23.0,JAX,WR,16.0,11.0,102.0,66.0,820.0,12.4,4.0,38.0,51.0,50.0,4.1,51.3,64.7,8.0,3.0,
33.0,Kellen Winslow,27.0,TAM,TE,16.0,11.0,98.0,66.0,730.0,11.1,5.0,36.0,52.0,41.0,4.1,45.6,67.3,7.4,1.0,
34.0,Jabar Gaffney,30.0,DEN,WR,16.0,11.0,112.0,65.0,875.0,13.5,2.0,41.0,50.0,50.0,4.1,54.7,58.0,7.8,1.0,
35.0,Mike Williams,26.0,SEA,WR,14.0,13.0,110.0,65.0,751.0,11.6,2.0,41.0,47.3,68.0,4.6,53.6,59.1,6.8,0.0,AP CPoY-2
36.0,Mike Williams,23.0,TAM,WR,16.0,16.0,129.0,65.0,964.0,14.8,11.0,44.0,42.6,58.0,4.1,60.3,50.4,7.5,3.0,AP ORoY-2
37.0,Anquan Boldin,30.0,BAL,WR,16.0,16.0,109.0,64.0,837.0,13.1,7.0,43.0,51.4,61.0,4.0,52.3,58.7,7.7,1.0,
38.0,Ray Rice,23.0,BAL,RB,16.0,14.0,83.0,63.0,556.0,8.8,1.0,23.0,42.2,34.0,3.9,34.8,75.9,6.7,0.0,
