Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
85.0,Ronnie Hillman,25.0,SDG,RB,3.0,1.0,23.0,81.0,0.0,0.0,0.0,17.0,3.5,27.0,7.7,0.0,
86.0,Blaine Gabbert,27.0,SFO,QB,6.0,5.0,40.0,173.0,2.0,16.0,52.5,24.0,4.3,28.8,6.7,0.0,
87.0,Derek Carr,25.0,OAK,QB,15.0,15.0,39.0,70.0,0.0,5.0,30.8,13.0,1.8,4.7,2.6,5.0,"PB,AP MVP-3,AP OPoY-6"
88.0,Ryan Tannehill,28.0,MIA,QB,13.0,13.0,39.0,164.0,1.0,11.0,48.7,18.0,4.2,12.6,3.0,9.0,
89.0,James White,24.0,NWE,RB,16.0,4.0,39.0,166.0,0.0,8.0,48.7,16.0,4.3,10.4,2.4,0.0,
90.0,DuJuan Harris,28.0,SFO,RB,10.0,1.0,38.0,138.0,0.0,6.0,39.5,19.0,3.6,13.8,3.8,2.0,
91.0,Adrian Peterson,31.0,MIN,RB,3.0,3.0,37.0,72.0,0.0,3.0,35.1,13.0,1.9,24.0,12.3,1.0,
92.0,Matthew Stafford,28.0,DET,QB,16.0,16.0,37.0,207.0,2.0,16.0,54.1,24.0,5.6,12.9,2.3,3.0,
93.0,Cameron Artis-Payne,26.0,CAR,RB,3.0,3.0,36.0,144.0,2.0,5.0,50.0,14.0,4.0,48.0,12.0,0.0,
94.0,Matt Ryan,31.0,ATL,QB,16.0,16.0,35.0,117.0,0.0,13.0,42.9,18.0,3.3,7.3,2.2,4.0,"PB,AP-1,AP MVP-1,AP OPoY-1"
95.0,Mike Tolbert,31.0,CAR,RB,16.0,2.0,35.0,114.0,0.0,5.0,37.1,14.0,3.3,7.1,2.2,0.0,PB
96.0,Damien Williams,24.0,MIA,RB,15.0,0.0,35.0,115.0,3.0,9.0,37.1,23.0,3.3,7.7,2.3,1.0,
97.0,Kirk Cousins,28.0,WAS,QB,16.0,16.0,34.0,96.0,4.0,14.0,44.1,19.0,2.8,6.0,2.1,9.0,PB
98.0,Andre Ellington,27.0,ARI,RB,16.0,0.0,34.0,96.0,0.0,4.0,32.4,13.0,2.8,6.0,2.1,0.0,
99.0,Aaron Ripkowski,24.0,GNB,RB,16.0,8.0,34.0,150.0,2.0,12.0,58.8,15.0,4.4,9.4,2.1,0.0,
100.0,Kenyan Drake,22.0,MIA,RB,16.0,1.0,33.0,179.0,2.0,9.0,45.5,45.0,5.4,11.2,2.1,1.0,
101.0,Ryan Fitzpatrick,34.0,NYJ,QB,14.0,11.0,33.0,130.0,0.0,7.0,51.5,14.0,3.9,9.3,2.4,9.0,
102.0,Shane Vereen,27.0,NYG,RB,5.0,1.0,33.0,158.0,1.0,9.0,45.5,25.0,4.8,31.6,6.6,2.0,
103.0,Ka'Deem Carey,24.0,CHI,RB,12.0,0.0,32.0,126.0,0.0,4.0,37.5,24.0,3.9,10.5,2.7,0.0,
104.0,Corey Grant,25.0,JAX,RB,11.0,1.0,32.0,164.0,1.0,7.0,43.8,57.0,5.1,14.9,2.9,0.0,
105.0,Alex Collins,22.0,SEA,RB,11.0,0.0,31.0,125.0,1.0,8.0,38.7,26.0,4.0,11.4,2.8,2.0,
106.0,Robert Griffin III,26.0,CLE,QB,5.0,5.0,31.0,190.0,2.0,10.0,54.8,20.0,6.1,38.0,6.2,4.0,
107.0,Terron Ward,24.0,ATL,RB,5.0,0.0,31.0,151.0,0.0,7.0,45.2,45.0,4.9,30.2,6.2,0.0,
108.0,Orleans Darkwa,24.0,NYG,RB,10.0,2.0,30.0,111.0,2.0,7.0,40.0,17.0,3.7,11.1,3.0,0.0,
109.0,Brock Osweiler,26.0,HOU,QB,15.0,14.0,30.0,131.0,2.0,14.0,50.0,21.0,4.4,8.7,2.0,5.0,
110.0,C.J. Prosise,22.0,SEA,RB,6.0,2.0,30.0,172.0,1.0,4.0,53.3,72.0,5.7,28.7,5.0,0.0,
111.0,Kapri Bibbs,23.0,DEN,RB,12.0,0.0,29.0,129.0,0.0,7.0,51.7,24.0,4.4,10.8,2.4,0.0,
112.0,Tavon Austin,26.0,LAR,WR,15.0,15.0,28.0,159.0,1.0,8.0,57.1,30.0,5.7,10.6,1.9,5.0,
113.0,Tom Brady,39.0,NWE,QB,12.0,12.0,28.0,64.0,0.0,11.0,42.9,15.0,2.3,5.3,2.3,5.0,"PB,AP-2,AP MVP-2,AP OPoY-4"
114.0,Trevor Siemian,25.0,DEN,QB,14.0,14.0,28.0,57.0,0.0,6.0,39.3,14.0,2.0,4.1,2.0,4.0,
115.0,Kenjon Barner,27.0,PHI,RB,13.0,0.0,27.0,129.0,2.0,9.0,51.9,19.0,4.8,9.9,2.1,0.0,
116.0,Jonathan Williams,22.0,BUF,RB,11.0,0.0,27.0,94.0,1.0,6.0,40.7,20.0,3.5,8.5,2.5,2.0,
117.0,Chris Johnson,31.0,ARI,RB,4.0,0.0,25.0,95.0,1.0,5.0,44.0,18.0,3.8,23.8,6.3,0.0,
118.0,Tyreek Hill,22.0,KAN,WR,16.0,1.0,24.0,267.0,3.0,11.0,58.3,70.0,11.1,16.7,1.5,4.0,"PB,AP-1"
119.0,Darren McFadden,29.0,DAL,RB,3.0,1.0,24.0,87.0,0.0,5.0,45.8,24.0,3.6,29.0,8.0,0.0,
120.0,Drew Brees,37.0,NOR,QB,16.0,16.0,23.0,20.0,2.0,7.0,30.4,7.0,0.9,1.3,1.4,5.0,"PB,AP OPoY-6"
121.0,Jonathan Grimes,27.0,HOU,RB,10.0,0.0,23.0,105.0,0.0,6.0,30.4,14.0,4.6,10.5,2.3,0.0,
122.0,Arian Foster,30.0,MIA,RB,4.0,2.0,22.0,55.0,0.0,3.0,27.3,9.0,2.5,13.8,5.5,1.0,
123.0,Benny Cunningham,26.0,LAR,RB,11.0,0.0,21.0,101.0,0.0,4.0,42.9,24.0,4.8,9.2,1.9,1.0,
124.0,Joe Flacco,31.0,BAL,QB,16.0,16.0,21.0,58.0,2.0,6.0,33.3,16.0,2.8,3.6,1.3,5.0,
125.0,Eli Manning,35.0,NYG,QB,16.0,16.0,21.0,-9.0,0.0,2.0,9.5,6.0,-0.4,-0.6,1.3,7.0,
126.0,Sam Bradford,29.0,MIN,QB,15.0,15.0,20.0,53.0,0.0,3.0,25.0,24.0,2.7,3.5,1.3,10.0,
127.0,Akeem Hunt,23.0,HOU,RB,8.0,0.0,20.0,109.0,0.0,5.0,50.0,19.0,5.5,13.6,2.5,2.0,
128.0,Case Keenum,28.0,LAR,QB,10.0,9.0,20.0,51.0,1.0,8.0,45.0,13.0,2.6,5.1,2.0,5.0,
129.0,Mike Davis,23.0,SFO,RB,8.0,1.0,19.0,50.0,1.0,4.0,47.4,8.0,2.6,6.3,2.4,1.0,
130.0,Byron Marshall,22.0,PHI,RB,3.0,0.0,19.0,64.0,0.0,6.0,42.1,12.0,3.4,21.3,6.3,0.0,
131.0,Danny Woodhead,31.0,SDG,RB,2.0,1.0,19.0,116.0,0.0,0.0,0.0,23.0,6.1,58.0,9.5,0.0,
132.0,Ameer Abdullah,23.0,DET,RB,2.0,2.0,18.0,101.0,0.0,6.0,61.1,24.0,5.6,50.5,9.0,0.0,
133.0,Malcolm Brown,23.0,LAR,RB,16.0,0.0,18.0,39.0,0.0,1.0,22.2,10.0,2.2,2.4,1.1,1.0,
134.0,John Kuhn,34.0,NOR,FB,16.0,3.0,18.0,37.0,4.0,12.0,66.7,4.0,2.1,2.3,1.1,0.0,
135.0,Andre Williams,24.0,SDG,RB,1.0,0.0,18.0,87.0,0.0,0.0,0.0,14.0,4.8,87.0,18.0,0.0,
136.0,Kerwynn Williams,25.0,ARI,RB,10.0,0.0,18.0,157.0,2.0,8.0,55.6,49.0,8.7,15.7,1.8,0.0,
137.0,Knile Davis,25.0,2TM,RB,11.0,0.0,18.0,28.0,0.0,0.0,16.7,6.0,1.6,2.5,1.6,0.0,
137.0,Knile Davis,25.0,GNB,RB,2.0,0.0,5.0,5.0,0.0,0.0,0.0,4.0,1.0,2.5,2.5,0.0,
137.0,Knile Davis,25.0,KAN,RB,9.0,0.0,13.0,23.0,0.0,0.0,23.1,6.0,1.8,2.6,1.4,0.0,
138.0,Jamize Olawale,27.0,OAK,RB,16.0,7.0,17.0,47.0,2.0,5.0,35.3,17.0,2.8,2.9,1.1,0.0,
139.0,Bobby Rainey,29.0,NYG,RB,15.0,0.0,17.0,63.0,0.0,4.0,52.9,14.0,3.7,4.2,1.1,1.0,
140.0,Jacoby Brissett,24.0,NWE,QB,3.0,2.0,16.0,83.0,1.0,5.0,43.8,27.0,5.2,27.7,5.3,3.0,
141.0,Ben Roethlisberger,34.0,PIT,QB,14.0,14.0,16.0,14.0,1.0,3.0,18.8,14.0,0.9,1.0,1.1,8.0,PB
142.0,Josh Ferguson,23.0,IND,RB,16.0,0.0,15.0,20.0,0.0,0.0,13.3,11.0,1.3,1.3,0.9,1.0,
143.0,Ted Ginn Jr.,31.0,CAR,WR,16.0,8.0,14.0,98.0,0.0,7.0,71.4,20.0,7.0,6.1,0.9,3.0,
144.0,Carson Palmer,37.0,ARI,QB,15.0,15.0,14.0,38.0,0.0,3.0,42.9,16.0,2.7,2.5,0.9,14.0,
145.0,Philip Rivers,35.0,SDG,QB,16.0,16.0,14.0,35.0,0.0,0.0,0.0,10.0,2.5,2.2,0.9,9.0,PB
146.0,Fitzgerald Toussaint,26.0,PIT,RB,16.0,0.0,14.0,58.0,0.0,2.0,35.7,16.0,4.1,3.6,0.9,0.0,
147.0,Reggie Bush,31.0,BUF,RB,13.0,0.0,12.0,-3.0,1.0,3.0,41.7,5.0,-0.3,-0.2,0.9,1.0,
148.0,Jamaal Charles,30.0,KAN,RB,3.0,0.0,12.0,40.0,1.0,3.0,41.7,17.0,3.3,13.3,4.0,0.0,
149.0,Julian Edelman,30.0,NWE,WR,16.0,13.0,12.0,57.0,0.0,3.0,66.7,9.0,4.8,3.6,0.8,3.0,
150.0,Troymaine Pope,23.0,2TM,RB,4.0,0.0,12.0,44.0,0.0,3.0,33.3,18.0,3.7,11.0,3.0,0.0,
150.0,Troymaine Pope,23.0,NYJ,RB,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,
150.0,Troymaine Pope,23.0,SEA,RB,3.0,0.0,11.0,43.0,0.0,3.0,36.4,18.0,3.9,14.3,3.7,0.0,
151.0,Cody Kessler,23.0,CLE,QB,9.0,8.0,11.0,18.0,0.0,1.0,18.2,8.0,1.6,2.0,1.2,4.0,
152.0,Daniel Lasco,24.0,NOR,RB,7.0,0.0,11.0,32.0,0.0,1.0,45.5,6.0,2.9,4.6,1.6,0.0,
153.0,Paxton Lynch,22.0,DEN,QB,3.0,2.0,11.0,25.0,0.0,1.0,18.2,10.0,2.3,8.3,3.7,2.0,
154.0,Randall Cobb,26.0,GNB,WR,13.0,10.0,10.0,33.0,0.0,4.0,50.0,14.0,3.3,2.5,0.8,1.0,
155.0,Jimmy Garoppolo,25.0,NWE,QB,6.0,2.0,10.0,6.0,0.0,1.0,10.0,10.0,0.6,1.0,1.7,2.0,
156.0,Don Jackson,23.0,GNB,RB,3.0,1.0,10.0,32.0,0.0,1.0,50.0,7.0,3.2,10.7,3.3,0.0,
157.0,Antone Smith,31.0,TAM,RB,3.0,0.0,10.0,47.0,0.0,2.0,60.0,8.0,4.7,15.7,3.3,2.0,
158.0,Golden Tate,28.0,DET,WR,16.0,16.0,10.0,4.0,0.0,1.0,20.0,11.0,0.4,0.3,0.6,2.0,
159.0,Lucky Whitehead,24.0,DAL,WR,15.0,1.0,10.0,82.0,0.0,4.0,60.0,26.0,8.2,5.5,0.7,3.0,
160.0,Brandon Wilds,23.0,NYJ,RB,4.0,0.0,10.0,27.0,0.0,1.0,30.0,6.0,2.7,6.8,2.5,0.0,
161.0,Javorius Allen,25.0,BAL,RB,8.0,0.0,9.0,34.0,0.0,0.0,55.6,7.0,3.8,4.3,1.1,0.0,
162.0,Lance Dunbar,26.0,DAL,RB,13.0,0.0,9.0,31.0,1.0,3.0,55.6,10.0,3.4,2.4,0.7,1.0,
163.0,Jordan Todman,26.0,IND,RB,16.0,0.0,9.0,59.0,0.0,3.0,55.6,19.0,6.6,3.7,0.6,0.0,
164.0,Terrell Watson,23.0,PHI,RB,1.0,0.0,9.0,28.0,1.0,2.0,55.6,8.0,3.1,28.0,9.0,0.0,
165.0,Trevone Boykin,23.0,SEA,QB,5.0,0.0,8.0,1.0,0.0,1.0,12.5,11.0,0.1,0.2,1.6,1.0,
166.0,Mack Brown,25.0,WAS,DB,9.0,0.0,8.0,82.0,1.0,1.0,37.5,61.0,10.3,9.1,0.9,0.0,
167.0,Jerome Felton,30.0,BUF,RB,15.0,4.0,8.0,13.0,0.0,5.0,62.5,6.0,1.6,0.9,0.5,0.0,
168.0,Jared Goff,22.0,LAR,QB,7.0,7.0,8.0,16.0,1.0,1.0,25.0,6.0,2.0,2.3,1.1,5.0,
169.0,Kevin Hogan,24.0,CLE,QB,4.0,0.0,8.0,105.0,1.0,5.0,75.0,28.0,13.1,26.3,2.0,0.0,
170.0,EJ Manuel,26.0,BUF,QB,6.0,1.0,8.0,22.0,0.0,3.0,50.0,8.0,2.8,3.7,1.3,2.0,
171.0,Isaiah Pead,27.0,MIA,RB,3.0,0.0,8.0,22.0,0.0,0.0,37.5,4.0,2.8,7.3,2.7,0.0,
172.0,Terrelle Pryor,27.0,CLE,WR,16.0,15.0,8.0,21.0,1.0,3.0,37.5,15.0,2.6,1.3,0.5,1.0,
173.0,Khiry Robinson,27.0,NYJ,RB,1.0,0.0,8.0,22.0,0.0,1.0,50.0,10.0,2.8,22.0,8.0,1.0,
174.0,Juwan Thompson,24.0,DEN,RB,8.0,1.0,8.0,26.0,1.0,2.0,37.5,14.0,3.3,3.3,1.0,0.0,
175.0,George Atkinson,24.0,CLE,RB,16.0,0.0,7.0,34.0,1.0,3.0,57.1,11.0,4.9,2.1,0.4,1.0,
176.0,Matt Barkley,26.0,CHI,QB,7.0,6.0,7.0,2.0,0.0,0.0,0.0,5.0,0.3,0.3,1.0,4.0,
