Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
1.0,Ezekiel Elliott,21.0,DAL,RB,15.0,15.0,322.0,1631.0,15.0,95.0,55.3,60.0,5.1,108.7,21.5,5.0,"PB,AP-1,AP MVP-3,AP OPoY-5,AP ORoY-2"
2.0,LeGarrette Blount,30.0,NWE,RB,16.0,8.0,299.0,1161.0,18.0,68.0,42.5,44.0,3.9,72.6,18.7,2.0,
3.0,David Johnson,25.0,ARI,RB,16.0,16.0,293.0,1239.0,16.0,73.0,48.8,58.0,4.2,77.4,18.3,5.0,"PB,AP-1,AP OPoY-3"
4.0,DeMarco Murray,28.0,TEN,RB,16.0,16.0,293.0,1287.0,9.0,67.0,50.2,75.0,4.4,80.4,18.3,3.0,PB
5.0,Todd Gurley,22.0,LAR,RB,16.0,16.0,278.0,885.0,6.0,49.0,40.3,24.0,3.2,55.3,17.4,2.0,
6.0,Lamar Miller,25.0,HOU,RB,14.0,14.0,268.0,1073.0,5.0,55.0,42.9,45.0,4.0,76.6,19.1,2.0,
7.0,Frank Gore,33.0,IND,RB,16.0,16.0,263.0,1025.0,4.0,50.0,47.9,22.0,3.9,64.1,16.4,2.0,
8.0,Le'Veon Bell,24.0,PIT,RB,12.0,12.0,261.0,1268.0,7.0,70.0,53.3,44.0,4.9,105.7,21.8,4.0,"PB,AP-2,AP OPoY-6,AP CPoY-4"
9.0,Jay Ajayi,23.0,MIA,RB,15.0,12.0,260.0,1272.0,8.0,63.0,42.7,62.0,4.9,84.8,17.3,4.0,PB
10.0,Melvin Gordon,23.0,SDG,RB,13.0,11.0,254.0,997.0,10.0,0.0,0.0,48.0,3.9,76.7,19.5,2.0,PB
11.0,Jordan Howard,22.0,CHI,RB,15.0,13.0,252.0,1313.0,6.0,73.0,48.8,69.0,5.2,87.5,16.8,2.0,PB
12.0,LeSean McCoy,28.0,BUF,RB,15.0,15.0,234.0,1267.0,13.0,56.0,49.6,75.0,5.4,84.5,15.6,3.0,PB
13.0,Devonta Freeman,24.0,ATL,RB,16.0,16.0,227.0,1079.0,11.0,66.0,49.3,75.0,4.8,67.4,14.2,1.0,PB
14.0,Jeremy Hill,24.0,CIN,RB,15.0,13.0,222.0,839.0,9.0,46.0,43.7,74.0,3.8,55.9,14.8,0.0,
15.0,Matt Forte,31.0,NYJ,RB,14.0,13.0,218.0,813.0,7.0,36.0,40.4,32.0,3.7,58.1,15.6,1.0,
16.0,Jonathan Stewart,29.0,CAR,RB,13.0,13.0,218.0,824.0,9.0,49.0,42.7,47.0,3.8,63.4,16.8,3.0,
17.0,Carlos Hyde,26.0,SFO,RB,13.0,13.0,217.0,988.0,6.0,48.0,47.5,47.0,4.6,76.0,16.7,5.0,
18.0,Spencer Ware,25.0,KAN,RB,14.0,14.0,214.0,921.0,3.0,50.0,50.5,46.0,4.3,65.8,15.3,4.0,
19.0,Mark Ingram,27.0,NOR,RB,16.0,14.0,205.0,1043.0,6.0,50.0,57.1,75.0,5.1,65.2,12.8,2.0,
20.0,Isaiah Crowell,23.0,CLE,RB,16.0,16.0,198.0,952.0,7.0,45.0,40.4,85.0,4.8,59.5,12.4,2.0,
21.0,Latavius Murray,26.0,OAK,RB,14.0,12.0,195.0,788.0,12.0,52.0,47.7,42.0,4.0,56.3,13.9,2.0,
22.0,Terrance West,25.0,BAL,RB,16.0,13.0,193.0,774.0,5.0,38.0,41.5,41.0,4.0,48.4,12.1,2.0,
23.0,Rashad Jennings,31.0,NYG,RB,13.0,12.0,181.0,593.0,3.0,29.0,36.5,25.0,3.3,45.6,13.9,1.0,
24.0,Devontae Booker,24.0,DEN,RB,16.0,6.0,174.0,612.0,4.0,31.0,43.1,18.0,3.5,38.3,10.9,4.0,
25.0,Robert Kelley,24.0,WAS,RB,15.0,9.0,168.0,704.0,6.0,30.0,46.4,66.0,4.2,46.9,11.2,0.0,
26.0,Jerick McKinnon,24.0,MIN,RB,15.0,7.0,159.0,539.0,2.0,21.0,37.1,36.0,3.4,35.9,10.6,0.0,
27.0,Ryan Mathews,29.0,PHI,RB,13.0,8.0,155.0,661.0,8.0,40.0,51.0,30.0,4.3,50.8,11.9,3.0,
28.0,Christine Michael,26.0,2TM,RB,15.0,7.0,148.0,583.0,7.0,34.0,48.0,42.0,3.9,38.9,9.9,2.0,
28.0,Christine Michael,26.0,SEA,RB,9.0,7.0,117.0,469.0,6.0,27.0,48.7,41.0,4.0,52.1,13.0,2.0,
28.0,Christine Michael,26.0,GNB,RB,6.0,0.0,31.0,114.0,1.0,7.0,45.2,42.0,3.7,19.0,5.2,0.0,
29.0,Doug Martin,27.0,TAM,RB,8.0,8.0,144.0,421.0,3.0,24.0,41.0,17.0,2.9,52.6,18.0,1.0,
30.0,Tim Hightower,30.0,NOR,RB,16.0,1.0,133.0,548.0,4.0,32.0,53.4,30.0,4.1,34.3,8.3,0.0,
31.0,Bilal Powell,28.0,NYJ,RB,16.0,4.0,131.0,722.0,3.0,44.0,55.0,35.0,5.5,45.1,8.2,1.0,
32.0,T.J. Yeldon,23.0,JAX,RB,15.0,13.0,130.0,465.0,1.0,21.0,36.9,16.0,3.6,31.0,8.7,2.0,
33.0,Jacquizz Rodgers,26.0,TAM,RB,10.0,5.0,129.0,560.0,2.0,31.0,48.8,45.0,4.3,56.0,12.9,0.0,
34.0,Matt Asiata,29.0,MIN,RB,16.0,6.0,121.0,402.0,6.0,28.0,46.3,29.0,3.3,25.1,7.6,1.0,
35.0,Tevin Coleman,23.0,ATL,RB,13.0,0.0,118.0,520.0,8.0,25.0,43.2,55.0,4.4,40.0,9.1,1.0,
36.0,Chris Ivory,28.0,JAX,RB,11.0,1.0,117.0,439.0,3.0,21.0,45.3,42.0,3.8,39.9,10.6,5.0,
37.0,Paul Perkins,22.0,NYG,RB,14.0,1.0,112.0,456.0,0.0,24.0,43.8,22.0,4.1,32.6,8.0,1.0,
38.0,C.J. Anderson,25.0,DEN,RB,7.0,7.0,110.0,437.0,4.0,23.0,37.3,28.0,4.0,62.4,15.7,0.0,
39.0,Derrick Henry,22.0,TEN,RB,15.0,2.0,110.0,490.0,5.0,29.0,54.5,22.0,4.5,32.7,7.3,0.0,
40.0,Thomas Rawls,23.0,SEA,RB,9.0,7.0,109.0,349.0,3.0,22.0,39.4,45.0,3.2,38.8,12.1,0.0,
41.0,Mike Gillislee,26.0,BUF,RB,15.0,1.0,101.0,577.0,8.0,41.0,67.3,44.0,5.7,38.5,6.7,1.0,
42.0,Alfred Blue,25.0,HOU,RB,14.0,2.0,100.0,420.0,1.0,23.0,46.0,25.0,4.2,30.0,7.1,2.0,
43.0,Matt Jones,23.0,WAS,RB,7.0,7.0,99.0,460.0,3.0,28.0,50.5,57.0,4.6,65.7,14.1,3.0,
44.0,DeAngelo Williams,33.0,PIT,RB,9.0,4.0,98.0,343.0,4.0,22.0,43.9,17.0,3.5,38.1,10.9,0.0,
45.0,Tyrod Taylor,27.0,BUF,QB,15.0,15.0,95.0,580.0,6.0,34.0,49.5,49.0,6.1,38.7,6.3,4.0,
46.0,Darren Sproles,33.0,PHI,RB,15.0,5.0,94.0,438.0,2.0,22.0,52.1,25.0,4.7,29.2,6.3,1.0,PB
47.0,Theo Riddick,25.0,DET,RB,10.0,8.0,92.0,357.0,1.0,21.0,41.3,42.0,3.9,35.7,9.2,0.0,
48.0,Giovani Bernard,25.0,CIN,RB,10.0,2.0,91.0,337.0,2.0,16.0,48.4,17.0,3.7,33.7,9.1,1.0,
49.0,Cam Newton,27.0,CAR,QB,15.0,14.0,90.0,359.0,5.0,28.0,52.2,28.0,4.0,23.9,6.0,3.0,
50.0,Dwayne Washington,22.0,DET,RB,12.0,2.0,90.0,265.0,1.0,11.0,33.3,28.0,2.9,22.1,7.5,0.0,
51.0,Kenneth Dixon,22.0,BAL,RB,12.0,0.0,88.0,382.0,2.0,30.0,53.4,20.0,4.3,31.8,7.3,1.0,
52.0,Charcandrick West,25.0,KAN,RB,15.0,2.0,88.0,293.0,1.0,15.0,35.2,28.0,3.3,19.5,5.9,0.0,
53.0,Zach Zenner,25.0,DET,RB,14.0,4.0,88.0,334.0,4.0,23.0,47.7,20.0,3.8,23.9,6.3,1.0,
54.0,DeAndre Washington,23.0,OAK,RB,14.0,2.0,87.0,467.0,2.0,19.0,47.1,30.0,5.4,33.4,6.2,1.0,
55.0,Justin Forsett,31.0,3TM,RB,9.0,6.0,87.0,291.0,1.0,10.0,32.2,64.0,3.3,32.3,9.7,2.0,
55.0,Justin Forsett,31.0,BAL,RB,3.0,3.0,31.0,98.0,0.0,3.0,35.5,11.0,3.2,32.7,10.3,0.0,
55.0,Justin Forsett,31.0,DET,RB,2.0,0.0,13.0,38.0,0.0,1.0,30.8,9.0,2.9,19.0,6.5,0.0,
55.0,Justin Forsett,31.0,DEN,RB,4.0,3.0,43.0,155.0,1.0,6.0,30.2,64.0,3.6,38.8,10.8,2.0,
56.0,Jalen Richard,23.0,OAK,RB,16.0,0.0,83.0,491.0,1.0,15.0,48.2,75.0,5.9,30.7,5.2,0.0,
57.0,Ty Montgomery,23.0,GNB,RB,15.0,6.0,77.0,457.0,3.0,20.0,53.2,61.0,5.9,30.5,5.1,2.0,
58.0,Wendell Smallwood,22.0,PHI,RB,13.0,3.0,77.0,312.0,1.0,20.0,46.8,19.0,4.1,24.0,5.9,1.0,
59.0,Rex Burkhead,26.0,CIN,RB,16.0,1.0,74.0,344.0,2.0,24.0,63.5,17.0,4.6,21.5,4.6,1.0,
60.0,Shaun Draughn,29.0,SFO,RB,16.0,1.0,74.0,196.0,4.0,15.0,33.8,18.0,2.6,12.3,4.6,1.0,
61.0,Duke Johnson,23.0,CLE,RB,16.0,1.0,73.0,358.0,1.0,18.0,45.2,22.0,4.9,22.4,4.6,2.0,
62.0,Russell Wilson,28.0,SEA,QB,16.0,16.0,72.0,259.0,1.0,18.0,43.1,18.0,3.6,16.2,4.5,8.0,
63.0,Eddie Lacy,26.0,GNB,RB,5.0,5.0,71.0,360.0,0.0,15.0,49.3,31.0,5.1,72.0,14.2,0.0,
64.0,Colin Kaepernick,29.0,SFO,QB,12.0,11.0,69.0,468.0,2.0,29.0,60.9,30.0,6.8,39.0,5.8,9.0,
65.0,Alfred Morris,28.0,DAL,RB,14.0,0.0,69.0,243.0,2.0,15.0,47.8,17.0,3.5,17.4,4.9,0.0,
66.0,Chris Thompson,26.0,WAS,RB,16.0,0.0,68.0,356.0,3.0,16.0,52.9,25.0,5.2,22.3,4.3,2.0,
67.0,Aaron Rodgers,33.0,GNB,QB,16.0,16.0,67.0,369.0,4.0,26.0,49.3,23.0,5.5,23.1,4.2,8.0,"PB,AP MVP-5,AP OPoY-2"
68.0,Dion Lewis,26.0,NWE,RB,7.0,5.0,64.0,283.0,0.0,14.0,57.8,15.0,4.4,40.4,9.1,1.0,
69.0,Andrew Luck,27.0,IND,QB,15.0,15.0,64.0,341.0,2.0,20.0,46.9,33.0,5.3,22.7,4.3,6.0,
70.0,James Starks,30.0,GNB,RB,9.0,4.0,63.0,145.0,0.0,9.0,30.2,11.0,2.3,16.1,7.0,1.0,
71.0,Jeremy Langford,25.0,CHI,RB,12.0,3.0,62.0,200.0,4.0,12.0,56.5,23.0,3.2,16.7,5.2,2.0,
72.0,Kenneth Farrow,23.0,SDG,RB,13.0,2.0,60.0,192.0,0.0,0.0,0.0,11.0,3.2,14.8,4.6,2.0,
73.0,Marcus Mariota,23.0,TEN,QB,15.0,15.0,60.0,349.0,2.0,22.0,60.0,41.0,5.8,23.3,4.0,10.0,
74.0,Blake Bortles,24.0,JAX,QB,16.0,16.0,58.0,359.0,3.0,20.0,53.4,27.0,6.2,22.4,3.6,8.0,
75.0,Dak Prescott,23.0,DAL,QB,16.0,16.0,57.0,282.0,6.0,21.0,54.4,18.0,4.9,17.6,3.6,9.0,"PB,AP MVP-6,AP ORoY-1"
76.0,Fozzy Whittaker,27.0,CAR,RB,16.0,0.0,57.0,265.0,0.0,10.0,36.8,25.0,4.6,16.6,3.6,1.0,
77.0,Peyton Barber,22.0,TAM,RB,15.0,1.0,55.0,223.0,1.0,10.0,41.8,44.0,4.1,14.9,3.7,0.0,
78.0,Jameis Winston,22.0,TAM,QB,16.0,16.0,53.0,165.0,1.0,13.0,32.1,14.0,3.1,10.3,3.3,10.0,
79.0,Charles Sims,26.0,TAM,RB,7.0,2.0,51.0,149.0,1.0,6.0,39.2,23.0,2.9,21.3,7.3,1.0,
80.0,Alex Smith,32.0,KAN,QB,15.0,15.0,48.0,134.0,5.0,11.0,27.1,24.0,2.8,8.9,3.2,7.0,PB
81.0,Robert Turbin,27.0,IND,RB,15.0,0.0,47.0,164.0,7.0,20.0,59.6,18.0,3.5,10.9,3.1,0.0,
82.0,Andy Dalton,29.0,CIN,QB,16.0,16.0,46.0,184.0,4.0,17.0,52.2,15.0,4.0,11.5,2.9,9.0,PB
83.0,Carson Wentz,24.0,PHI,QB,16.0,16.0,46.0,150.0,2.0,17.0,47.8,17.0,3.3,9.4,2.9,14.0,
84.0,Denard Robinson,26.0,JAX,WR,13.0,1.0,41.0,144.0,0.0,4.0,41.5,9.0,3.5,11.1,3.2,0.0,
85.0,Ronnie Hillman,25.0,2TM,RB,8.0,1.0,41.0,131.0,0.0,4.0,19.5,17.0,3.2,16.4,5.1,0.0,
85.0,Ronnie Hillman,25.0,MIN,RB,5.0,0.0,18.0,50.0,0.0,4.0,44.4,14.0,2.8,10.0,3.6,0.0,
