Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Daunte Culpepper,27.0,MIN,QB,16.0,16.0,8-8-0,379.0,548.0,69.2,4717.0,39.0,7.1,11.0,2.0,224.0,53.5,82.0,8.6,9.13,12.4,294.8,110.9,46.0,238.0,7.74,7.54,8.02,1.0,3.0,"PB,AP OPoY-2"
2.0,Trent Green,34.0,KAN,QB,16.0,16.0,7-9-0,369.0,556.0,66.4,4591.0,27.0,4.9,17.0,3.1,230.0,50.7,70.0,8.3,7.85,12.4,286.9,95.2,32.0,227.0,5.44,7.42,7.04,3.0,3.0,
3.0,Peyton Manning,28.0,IND,QB,16.0,16.0,12-4-0,336.0,497.0,67.6,4557.0,49.0,9.9,10.0,2.0,233.0,57.1,80.0,9.2,10.24,13.6,284.8,121.1,13.0,101.0,2.55,8.74,9.78,2.0,4.0,"PB,AP-1,AP MVP-1,AP OPoY-1"
4.0,Jake Plummer,30.0,DEN,QB,16.0,16.0,10-6-0,303.0,521.0,58.2,4089.0,27.0,5.2,20.0,3.8,185.0,47.6,85.0,7.8,7.16,13.5,255.6,84.5,15.0,90.0,2.8,7.46,6.79,1.0,4.0,
5.0,Brett Favre,35.0,GNB,QB,16.0,16.0,10-6-0,346.0,540.0,64.1,4088.0,30.0,5.6,17.0,3.1,205.0,50.2,79.0,7.6,7.26,11.8,255.5,92.4,12.0,93.0,2.17,7.24,6.94,3.0,4.0,
6.0,Marc Bulger,27.0,STL,QB,14.0,14.0,8-6-0,321.0,485.0,66.2,3964.0,21.0,4.3,14.0,2.9,181.0,47.1,56.0,8.2,7.74,12.3,283.1,93.7,41.0,302.0,7.79,6.96,6.56,3.0,4.0,
7.0,Jake Delhomme,29.0,CAR,QB,16.0,16.0,7-9-0,310.0,533.0,58.2,3886.0,29.0,5.4,15.0,2.8,193.0,45.4,63.0,7.3,7.11,12.5,242.9,87.3,33.0,246.0,5.83,6.43,6.26,2.0,3.0,
8.0,Donovan McNabb,28.0,PHI,QB,15.0,15.0,13-2-0,300.0,469.0,64.0,3875.0,31.0,6.6,8.0,1.7,174.0,49.5,80.0,8.3,8.82,12.9,258.3,104.7,32.0,192.0,6.39,7.35,7.87,2.0,2.0,PB
9.0,Aaron Brooks,28.0,NOR,QB,16.0,16.0,8-8-0,309.0,542.0,57.0,3810.0,21.0,3.9,16.0,3.0,179.0,39.6,57.0,7.0,6.48,12.3,238.1,79.5,41.0,223.0,7.03,6.15,5.64,3.0,5.0,
10.0,Tom Brady,27.0,NWE,QB,16.0,16.0,14-2-0,288.0,474.0,60.8,3692.0,28.0,5.9,14.0,3.0,187.0,48.0,50.0,7.8,7.64,12.8,230.8,92.6,26.0,162.0,5.2,7.06,6.92,0.0,1.0,PB
11.0,Vinny Testaverde,41.0,DAL,QB,16.0,15.0,5-10-0,297.0,495.0,60.0,3532.0,17.0,3.4,20.0,4.0,163.0,45.7,53.0,7.1,6.0,11.9,220.8,76.4,34.0,182.0,6.43,6.33,5.27,2.0,3.0,
12.0,David Carr,25.0,HOU,QB,16.0,16.0,7-9-0,285.0,466.0,61.2,3531.0,16.0,3.4,14.0,3.0,172.0,45.6,69.0,7.6,6.91,12.4,220.7,83.5,49.0,301.0,9.51,6.27,5.67,1.0,1.0,
13.0,Kerry Collins,32.0,OAK,QB,14.0,13.0,3-10-0,289.0,513.0,56.3,3495.0,21.0,4.1,20.0,3.9,155.0,41.8,63.0,6.8,5.88,12.1,249.6,74.8,25.0,144.0,4.65,6.23,5.34,1.0,2.0,
14.0,Matt Hasselbeck,29.0,SEA,QB,14.0,14.0,7-7-0,279.0,474.0,58.9,3382.0,22.0,4.6,15.0,3.2,176.0,47.0,60.0,7.1,6.64,12.1,241.6,83.1,30.0,155.0,5.95,6.4,5.94,0.0,0.0,
15.0,Drew Brees,25.0,SDG,QB,15.0,15.0,11-4-0,262.0,400.0,65.5,3159.0,27.0,6.8,7.0,1.8,142.0,48.3,79.0,7.9,8.46,12.1,210.6,104.8,18.0,131.0,4.31,7.24,7.78,1.0,2.0,"PB,AP OPoY-5,AP CPoY-1"
16.0,Joey Harrington,26.0,DET,QB,16.0,16.0,6-10-0,274.0,489.0,56.0,3047.0,19.0,3.9,12.0,2.5,141.0,39.6,62.0,6.2,5.9,11.1,190.4,77.5,36.0,196.0,6.86,5.43,5.13,1.0,1.0,
17.0,Byron Leftwich,24.0,JAX,QB,14.0,14.0,8-6-0,267.0,441.0,60.5,2941.0,15.0,3.4,10.0,2.3,141.0,42.9,65.0,6.7,6.33,11.0,210.1,82.2,25.0,114.0,5.36,6.07,5.74,4.0,4.0,
18.0,Drew Bledsoe,32.0,BUF,QB,16.0,16.0,9-7-0,256.0,450.0,56.9,2932.0,20.0,4.4,16.0,3.6,143.0,41.9,69.0,6.5,5.8,11.5,183.3,76.6,37.0,215.0,7.6,5.58,4.92,0.0,0.0,
19.0,Carson Palmer,25.0,CIN,QB,13.0,13.0,6-7-0,263.0,432.0,60.9,2897.0,18.0,4.2,18.0,4.2,140.0,43.1,76.0,6.7,5.66,11.0,222.8,77.3,25.0,178.0,5.47,5.95,4.96,2.0,3.0,
20.0,Chad Pennington,28.0,NYJ,QB,13.0,13.0,8-5-0,242.0,370.0,65.4,2673.0,16.0,4.3,9.0,2.4,137.0,49.7,48.0,7.2,6.99,11.0,205.6,91.0,18.0,103.0,4.64,6.62,6.4,2.0,2.0,
21.0,Brian Griese,29.0,TAM,QB,11.0,10.0,4-6-0,233.0,336.0,69.3,2632.0,20.0,6.0,12.0,3.6,126.0,52.2,68.0,7.8,7.42,11.3,239.3,97.5,26.0,169.0,7.18,6.8,6.42,1.0,1.0,AP CPoY-7
22.0,Ben Roethlisberger,22.0,PIT,QB,14.0,13.0,13-0-0,196.0,295.0,66.4,2621.0,17.0,5.8,11.0,3.7,130.0,49.8,58.0,8.9,8.36,13.4,187.2,98.1,30.0,213.0,9.23,7.41,6.93,4.0,5.0,AP ORoY-1
23.0,Kyle Boller,23.0,BAL,QB,16.0,16.0,9-7-0,258.0,464.0,55.6,2559.0,13.0,2.8,11.0,2.4,135.0,37.9,57.0,5.5,5.01,9.9,159.9,70.9,35.0,247.0,7.01,4.63,4.16,2.0,2.0,
24.0,Josh McCown,25.0,ARI,QB,14.0,13.0,6-7-0,233.0,408.0,57.1,2511.0,11.0,2.7,10.0,2.5,122.0,40.8,48.0,6.2,5.59,10.8,179.4,74.1,31.0,263.0,7.06,5.12,4.6,2.0,2.0,
25.0,Billy Volek,28.0,TEN,QB,10.0,8.0,2-6-0,218.0,357.0,61.1,2486.0,18.0,5.0,10.0,2.8,120.0,43.2,48.0,7.0,6.71,11.4,248.6,87.1,30.0,216.0,7.75,5.87,5.63,0.0,0.0,
26.0,Michael Vick,24.0,ATL,QB,15.0,15.0,11-4-0,181.0,321.0,56.4,2313.0,14.0,4.4,12.0,3.7,102.0,38.7,62.0,7.2,6.4,12.8,154.2,78.1,46.0,266.0,12.53,5.58,4.87,3.0,4.0,"PB,AP MVP-2,AP OPoY-5,AP CPoY-6"
27.0,Tim Rattay,27.0,SFO,QB,9.0,9.0,1-8-0,198.0,325.0,60.9,2169.0,10.0,3.1,10.0,3.1,109.0,44.8,65.0,6.7,5.9,11.0,241.0,78.1,37.0,211.0,10.22,5.41,4.72,1.0,1.0,
28.0,Kurt Warner,33.0,NYG,QB,10.0,9.0,5-4-0,174.0,277.0,62.8,2054.0,6.0,2.2,4.0,1.4,94.0,44.6,62.0,7.4,7.2,11.8,205.4,86.5,39.0,196.0,12.34,5.88,5.69,0.0,1.0,
29.0,A.J. Feeley,27.0,MIA,QB,11.0,8.0,3-5-0,191.0,356.0,53.7,1893.0,11.0,3.1,15.0,4.2,102.0,37.7,38.0,5.3,4.04,9.9,172.1,61.7,23.0,136.0,6.07,4.64,3.44,2.0,3.0,
30.0,Jeff Garcia,34.0,CLE,QB,11.0,10.0,3-7-0,144.0,252.0,57.1,1731.0,10.0,4.0,9.0,3.6,71.0,36.6,99.0,6.9,6.06,12.0,157.4,76.7,24.0,99.0,8.7,5.91,5.17,1.0,1.0,
31.0,Patrick Ramsey,25.0,WAS,QB,9.0,7.0,3-4-0,169.0,272.0,62.1,1665.0,10.0,3.7,11.0,4.0,89.0,42.7,51.0,6.1,5.04,9.9,185.0,74.8,23.0,137.0,7.8,5.18,4.18,0.0,0.0,
