Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Unnamed: 16_level_0,Unnamed: 17_level_0
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
193.0,Tim Rattay,25.0,SFO,QB,4.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.3,2.0,
194.0,Terrelle Smith,24.0,NOR,FB,16.0,8.0,5.0,11.0,0.0,0.0,40.0,5.0,2.2,0.7,0.3,1.0,
195.0,Chris Weinke,30.0,CAR,QB,6.0,1.0,5.0,9.0,0.0,1.0,20.0,13.0,1.8,1.5,0.8,0.0,
196.0,Jake Delhomme,27.0,NOR,QB,4.0,0.0,4.0,-2.0,0.0,1.0,25.0,6.0,-0.5,-0.5,1.0,0.0,
197.0,Reuben Droughns,24.0,DEN,RB,16.0,0.0,4.0,11.0,1.0,1.0,50.0,9.0,2.8,0.7,0.3,0.0,
198.0,Eddie Drummond,22.0,DET,WR,9.0,0.0,4.0,38.0,0.0,2.0,50.0,23.0,9.5,4.2,0.4,2.0,
199.0,Gus Frerotte,31.0,CIN,QB,4.0,3.0,4.0,22.0,0.0,1.0,75.0,9.0,5.5,5.5,1.0,2.0,
200.0,Joey Galloway,31.0,DAL,WR,16.0,16.0,4.0,31.0,0.0,1.0,50.0,21.0,7.8,1.9,0.3,2.0,
201.0,Az-Zahir Hakim,25.0,DET,WR,10.0,10.0,4.0,3.0,0.0,0.0,25.0,10.0,0.8,0.3,0.4,0.0,
202.0,Todd Heap,22.0,BAL,TE,16.0,16.0,4.0,38.0,0.0,2.0,75.0,15.0,9.5,2.4,0.3,0.0,PB
203.0,Shaun King,25.0,TAM,QB,3.0,1.0,4.0,25.0,0.0,1.0,50.0,15.0,6.3,8.3,1.3,0.0,
