Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
1.0,Chris Johnson,24.0,TEN,RB,16.0,16.0,358.0,2006.0,14.0,80.0,43.6,91.0,5.6,125.4,22.4,3.0,"PB,AP-1,AP OPoY-1"
2.0,Thomas Jones,31.0,NYJ,RB,16.0,16.0,331.0,1402.0,14.0,66.0,42.6,71.0,4.2,87.6,20.7,2.0,
3.0,Steven Jackson,26.0,STL,RB,15.0,15.0,324.0,1416.0,4.0,59.0,45.4,58.0,4.4,94.4,21.6,2.0,"PB,AP-2"
4.0,Adrian Peterson,24.0,MIN,RB,16.0,15.0,314.0,1383.0,18.0,76.0,44.6,64.0,4.4,86.4,19.6,7.0,"PB,AP-1"
5.0,Maurice Jones-Drew,24.0,JAX,RB,16.0,16.0,312.0,1391.0,15.0,69.0,48.1,80.0,4.5,86.9,19.5,2.0,PB
6.0,Cedric Benson,27.0,CIN,RB,13.0,13.0,301.0,1251.0,6.0,57.0,41.9,42.0,4.2,96.2,23.2,1.0,AP CPoY-4
7.0,Ryan Grant,27.0,GNB,RB,16.0,16.0,282.0,1253.0,11.0,64.0,46.5,62.0,4.4,78.3,17.6,1.0,
8.0,Matt Forte,24.0,CHI,RB,16.0,16.0,258.0,929.0,4.0,41.0,41.1,61.0,3.6,58.1,16.1,6.0,
9.0,Ray Rice,22.0,BAL,RB,16.0,15.0,254.0,1339.0,7.0,53.0,48.8,59.0,5.3,83.7,15.9,3.0,"PB,AP-2"
10.0,Knowshon Moreno,22.0,DEN,RB,16.0,9.0,247.0,947.0,7.0,53.0,48.2,36.0,3.8,59.2,15.4,4.0,AP ORoY-3
11.0,Rashard Mendenhall,22.0,PIT,RB,16.0,12.0,242.0,1108.0,7.0,50.0,45.5,60.0,4.6,69.3,15.1,3.0,
12.0,Ricky Williams,32.0,MIA,RB,16.0,7.0,241.0,1121.0,11.0,55.0,53.9,68.0,4.7,70.1,15.1,5.0,
13.0,Fred Jackson,28.0,BUF,RB,16.0,11.0,237.0,1062.0,2.0,44.0,46.4,43.0,4.5,66.4,14.8,4.0,
14.0,Frank Gore,26.0,SFO,RB,14.0,14.0,229.0,1120.0,10.0,47.0,39.3,80.0,4.9,80.0,16.4,4.0,PB
15.0,Brandon Jacobs,27.0,NYG,RB,15.0,15.0,224.0,835.0,5.0,44.0,44.2,31.0,3.7,55.7,14.9,2.0,
16.0,LaDainian Tomlinson,30.0,SDG,RB,14.0,14.0,223.0,730.0,12.0,40.0,42.2,36.0,3.3,52.1,15.9,2.0,
17.0,Jonathan Stewart,22.0,CAR,RB,16.0,3.0,221.0,1133.0,10.0,54.0,48.9,67.0,5.1,70.8,13.8,3.0,
18.0,Joseph Addai,26.0,IND,RB,15.0,15.0,219.0,828.0,10.0,44.0,50.7,21.0,3.8,55.2,14.6,1.0,
19.0,Kevin Smith,23.0,DET,RB,13.0,13.0,217.0,747.0,4.0,41.0,45.2,31.0,3.4,57.5,16.7,3.0,
20.0,DeAngelo Williams,26.0,CAR,RB,13.0,13.0,216.0,1117.0,7.0,51.0,44.0,77.0,5.2,85.9,16.6,3.0,PB
21.0,Marion Barber III,26.0,DAL,RB,15.0,15.0,214.0,932.0,7.0,60.0,50.0,35.0,4.4,62.1,14.3,2.0,
22.0,Cadillac Williams,27.0,TAM,RB,16.0,15.0,211.0,823.0,4.0,43.0,38.4,35.0,3.9,51.4,13.2,1.0,AP CPoY-2
23.0,Jerome Harrison,26.0,CLE,RB,14.0,7.0,194.0,862.0,5.0,39.0,46.4,71.0,4.4,61.6,13.9,2.0,
24.0,Laurence Maroney,24.0,NWE,RB,15.0,5.0,194.0,757.0,9.0,45.0,51.5,45.0,3.9,50.5,12.9,4.0,
25.0,Jamaal Charles,23.0,KAN,RB,15.0,10.0,190.0,1120.0,7.0,54.0,54.2,76.0,5.9,74.7,12.7,4.0,
26.0,Michael Turner,27.0,ATL,RB,11.0,11.0,178.0,871.0,10.0,43.0,48.9,58.0,4.9,79.2,16.2,4.0,
27.0,Larry Johnson,30.0,2TM,RB,14.0,7.0,178.0,581.0,0.0,28.0,38.2,27.0,3.3,41.5,12.7,2.0,
27.0,Larry Johnson,30.0,KAN,RB,7.0,7.0,132.0,377.0,0.0,17.0,34.8,19.0,2.9,53.9,18.9,2.0,
27.0,Larry Johnson,30.0,CIN,RB,7.0,0.0,46.0,204.0,0.0,11.0,47.8,27.0,4.4,29.1,6.6,0.0,
28.0,Julius Jones,28.0,SEA,RB,14.0,14.0,177.0,663.0,2.0,33.0,42.9,62.0,3.7,47.4,12.6,0.0,
29.0,Beanie Wells,21.0,ARI,RB,16.0,0.0,176.0,793.0,7.0,39.0,51.1,33.0,4.5,49.6,11.0,4.0,
30.0,Mike Bell,26.0,NOR,RB,13.0,3.0,172.0,654.0,5.0,34.0,49.4,35.0,3.8,50.3,13.2,2.0,
31.0,Ahmad Bradshaw,23.0,NYG,RB,15.0,1.0,163.0,778.0,7.0,47.0,51.5,38.0,4.8,51.9,10.9,3.0,
32.0,LeSean McCoy,21.0,PHI,RB,16.0,4.0,155.0,637.0,4.0,29.0,42.6,66.0,4.1,39.8,9.7,2.0,
33.0,Ronnie Brown,28.0,MIA,RB,9.0,9.0,147.0,648.0,8.0,32.0,50.3,45.0,4.4,72.0,16.3,1.0,
34.0,Pierre Thomas,25.0,NOR,RB,14.0,6.0,147.0,793.0,6.0,37.0,54.4,34.0,5.4,56.6,10.5,2.0,
35.0,Tim Hightower,23.0,ARI,RB,16.0,16.0,143.0,598.0,8.0,33.0,39.9,50.0,4.2,37.4,8.9,5.0,
36.0,Jamal Lewis,30.0,CLE,RB,9.0,8.0,143.0,500.0,0.0,18.0,37.8,18.0,3.5,55.6,15.9,0.0,
37.0,Jason Snelling,26.0,ATL,RB,14.0,2.0,142.0,613.0,4.0,39.0,46.5,31.0,4.3,43.8,10.1,2.0,
38.0,Steve Slaton,23.0,HOU,RB,11.0,10.0,131.0,437.0,3.0,27.0,33.6,32.0,3.3,39.7,11.9,7.0,
39.0,Justin Fargas,29.0,OAK,FB,12.0,4.0,129.0,491.0,3.0,25.0,38.0,35.0,3.8,40.9,10.8,1.0,
40.0,Clinton Portis,28.0,WAS,RB,8.0,8.0,124.0,494.0,1.0,20.0,41.1,78.0,4.0,61.8,15.5,1.0,
41.0,Michael Bush,25.0,OAK,RB,16.0,7.0,123.0,589.0,3.0,22.0,45.5,60.0,4.8,36.8,7.7,2.0,
42.0,Correll Buckhalter,31.0,DEN,RB,14.0,7.0,120.0,642.0,1.0,30.0,54.2,45.0,5.4,45.9,8.6,3.0,
43.0,Marshawn Lynch,23.0,BUF,RB,13.0,6.0,120.0,450.0,2.0,18.0,37.5,47.0,3.8,34.6,9.2,3.0,
44.0,Felix Jones,22.0,DAL,RB,14.0,1.0,116.0,685.0,3.0,24.0,45.7,56.0,5.9,48.9,8.3,3.0,
45.0,Justin Forsett,24.0,SEA,RB,16.0,2.0,114.0,619.0,4.0,29.0,44.7,35.0,5.4,38.7,7.1,4.0,
46.0,Derrick Ward,29.0,TAM,RB,14.0,1.0,114.0,409.0,1.0,13.0,33.3,28.0,3.6,29.2,8.1,0.0,
47.0,Willis McGahee,28.0,BAL,RB,16.0,1.0,109.0,544.0,12.0,29.0,52.3,77.0,5.0,34.0,6.8,1.0,
48.0,Shonn Greene,24.0,NYJ,RB,14.0,0.0,108.0,540.0,2.0,24.0,45.4,33.0,5.0,38.6,7.7,3.0,
49.0,Darren McFadden,22.0,OAK,RB,12.0,7.0,104.0,357.0,1.0,13.0,36.5,28.0,3.4,29.8,8.7,5.0,
50.0,Ryan Moats,27.0,HOU,RB,14.0,2.0,101.0,390.0,4.0,25.0,54.5,17.0,3.9,27.9,7.2,3.0,
51.0,Willie Parker,29.0,PIT,RB,14.0,3.0,98.0,389.0,0.0,19.0,44.9,34.0,4.0,27.8,7.0,2.0,
52.0,Chester Taylor,30.0,MIN,RB,16.0,0.0,94.0,338.0,1.0,12.0,29.8,25.0,3.6,21.1,5.9,2.0,
53.0,Maurice Morris,30.0,DET,RB,14.0,3.0,93.0,384.0,2.0,14.0,41.9,64.0,4.1,27.4,6.6,1.0,
54.0,Darren Sproles,26.0,SDG,RB,16.0,2.0,93.0,343.0,3.0,15.0,39.8,21.0,3.7,21.4,5.8,3.0,
55.0,Glen Coffee,22.0,SFO,RB,14.0,2.0,83.0,226.0,1.0,8.0,27.7,17.0,2.7,16.1,5.9,0.0,
56.0,Chris Brown,28.0,HOU,RB,14.0,4.0,79.0,267.0,3.0,15.0,41.8,13.0,3.4,19.1,5.6,1.0,
