Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Unnamed: 19_level_0,Unnamed: 20_level_0
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
1.0,Marvin Harrison,28.0,IND,WR,16.0,16.0,169.0,102.0,1413.0,13.9,14.0,70.0,52.7,78.0,6.4,88.3,60.4,8.4,2.0,"PB,AP-2"
2.0,Muhsin Muhammad,27.0,CAR,WR,16.0,16.0,156.0,102.0,1183.0,11.6,6.0,62.0,56.4,36.0,6.4,73.9,65.4,7.6,1.0,
3.0,Ed McCaffrey,32.0,DEN,WR,16.0,16.0,149.0,101.0,1317.0,13.0,9.0,69.0,59.1,61.0,6.3,82.3,67.8,8.8,0.0,
4.0,Rod Smith,30.0,DEN,WR,16.0,16.0,173.0,100.0,1602.0,16.0,8.0,77.0,53.8,49.0,6.3,100.1,57.8,9.3,1.0,"PB,AP-2"
5.0,Terrell Owens,27.0,SFO,WR,14.0,13.0,146.0,97.0,1451.0,15.0,13.0,65.0,60.3,69.0,6.9,103.6,66.4,9.9,3.0,"PB,AP-1"
6.0,Cris Carter,35.0,MIN,WR,16.0,16.0,161.0,96.0,1274.0,13.3,9.0,72.0,54.0,53.0,6.0,79.6,59.6,7.9,3.0,PB
7.0,Joe Horn,28.0,NOR,WR,16.0,16.0,151.0,94.0,1340.0,14.3,8.0,62.0,51.7,52.0,5.9,83.8,62.3,8.9,1.0,PB
8.0,Keenan McCardell,30.0,JAX,WR,16.0,16.0,140.0,94.0,1207.0,12.8,5.0,58.0,60.7,67.0,5.9,75.4,67.1,8.6,3.0,
9.0,Eric Moulds,27.0,BUF,WR,16.0,16.0,164.0,94.0,1326.0,14.1,5.0,62.0,51.2,52.0,5.9,82.9,57.3,8.1,1.0,PB
10.0,Tony Gonzalez,24.0,KAN,TE,16.0,16.0,150.0,93.0,1203.0,12.9,9.0,66.0,52.0,39.0,5.8,75.2,62.0,8.0,0.0,"PB,AP-1"
11.0,Jimmy Smith,31.0,JAX,WR,15.0,14.0,145.0,91.0,1213.0,13.3,8.0,46.0,53.8,65.0,6.1,80.9,62.8,8.4,1.0,PB
12.0,Richie Anderson,29.0,NYJ,FB,16.0,10.0,125.0,88.0,853.0,9.7,2.0,35.0,51.2,41.0,5.5,53.3,70.4,6.8,2.0,PB
13.0,Isaac Bruce,28.0,STL,WR,16.0,16.0,135.0,87.0,1471.0,16.9,9.0,65.0,60.0,78.0,5.4,91.9,64.4,10.9,1.0,PB
14.0,Troy Brown,29.0,NWE,WR,16.0,15.0,119.0,83.0,944.0,11.4,4.0,46.0,62.2,44.0,5.2,59.0,69.7,7.9,2.0,
15.0,Torry Holt,24.0,STL,WR,16.0,15.0,139.0,82.0,1635.0,19.9,6.0,60.0,54.7,85.0,5.1,102.2,59.0,11.8,2.0,PB
16.0,Larry Centers,32.0,WAS,FB,15.0,6.0,93.0,81.0,600.0,7.4,3.0,27.0,43.0,26.0,5.4,40.0,87.1,6.5,1.0,
17.0,Marshall Faulk,27.0,STL,RB,14.0,14.0,113.0,81.0,830.0,10.2,8.0,42.0,54.0,72.0,5.8,59.3,71.7,7.3,0.0,"PB,AP-1,AP MVP-1,AP OPoY-1"
18.0,Terry Glenn,26.0,NWE,WR,16.0,16.0,163.0,79.0,963.0,12.2,6.0,56.0,42.3,39.0,4.9,60.2,48.5,5.9,0.0,
19.0,Derrick Alexander,29.0,KAN,WR,16.0,16.0,144.0,78.0,1391.0,17.8,10.0,55.0,50.0,81.0,4.9,86.9,54.2,9.7,0.0,
20.0,Amani Toomer,26.0,NYG,WR,16.0,14.0,124.0,78.0,1094.0,14.0,7.0,60.0,57.3,54.0,4.9,68.4,62.9,8.8,1.0,
21.0,Randy Moss,23.0,MIN,WR,16.0,16.0,129.0,77.0,1437.0,18.7,15.0,57.0,57.4,78.0,4.8,89.8,59.7,11.1,2.0,"PB,AP-1,AP OPoY-5"
22.0,Tim Brown,34.0,OAK,WR,16.0,16.0,133.0,76.0,1128.0,14.8,11.0,59.0,51.9,45.0,4.8,70.5,57.1,8.5,0.0,
23.0,Jerry Rice,38.0,SFO,WR,16.0,16.0,122.0,75.0,805.0,10.7,7.0,49.0,51.6,68.0,4.7,50.3,61.5,6.6,3.0,
24.0,Ahman Green,23.0,GNB,RB,16.0,11.0,99.0,73.0,559.0,7.7,3.0,28.0,45.5,31.0,4.6,34.9,73.7,5.6,6.0,AP CPoY-12
25.0,Michael Pittman,25.0,ARI,RB,16.0,12.0,91.0,73.0,579.0,7.9,2.0,18.0,45.1,36.0,4.6,36.2,80.2,6.4,5.0,
26.0,David Boston,22.0,ARI,WR,16.0,16.0,133.0,71.0,1156.0,16.3,7.0,48.0,48.1,70.0,4.4,72.3,53.4,8.7,2.0,
27.0,Keyshawn Johnson,28.0,TAM,WR,16.0,16.0,122.0,71.0,874.0,12.3,8.0,49.0,52.5,38.0,4.4,54.6,58.2,7.2,2.0,
28.0,Freddie Jones,26.0,SDG,TE,16.0,16.0,126.0,71.0,766.0,10.8,5.0,38.0,45.2,44.0,4.4,47.9,56.3,6.1,3.0,
29.0,Tiki Barber,25.0,NYG,RB,16.0,12.0,95.0,70.0,719.0,10.3,1.0,29.0,48.4,36.0,4.4,44.9,73.7,7.6,9.0,
30.0,Curtis Martin,27.0,NYJ,RB,16.0,16.0,96.0,70.0,508.0,7.3,2.0,25.0,50.0,31.0,4.4,31.8,72.9,5.3,2.0,
31.0,Frank Wycheck,29.0,TEN,TE,16.0,16.0,109.0,70.0,636.0,9.1,4.0,37.0,47.7,26.0,4.4,39.8,64.2,5.8,2.0,"PB,AP-2"
32.0,Wayne Chrebet,27.0,NYJ,WR,16.0,16.0,143.0,69.0,937.0,13.6,8.0,49.0,43.4,50.0,4.3,58.6,48.3,6.6,0.0,
33.0,Chad Lewis,29.0,PHI,TE,16.0,16.0,110.0,69.0,735.0,10.7,3.0,35.0,54.5,52.0,4.3,45.9,62.7,6.7,0.0,"PB,AP-2"
34.0,Charlie Garner,28.0,SFO,RB,16.0,15.0,94.0,68.0,647.0,9.5,3.0,28.0,52.1,62.0,4.3,40.4,72.3,6.9,4.0,PB
35.0,Shannon Sharpe,32.0,BAL,TE,16.0,15.0,105.0,67.0,810.0,12.1,5.0,36.0,54.3,59.0,4.2,50.6,63.8,7.7,0.0,
36.0,Donald Hayes,25.0,CAR,WR,15.0,15.0,112.0,66.0,926.0,14.0,3.0,47.0,53.6,43.0,4.4,61.7,58.9,8.3,1.0,
37.0,Bill Schroeder,29.0,GNB,WR,16.0,16.0,119.0,65.0,999.0,15.4,4.0,51.0,51.3,55.0,4.1,62.4,54.6,8.4,1.0,
38.0,Kyle Brady,28.0,JAX,TE,16.0,15.0,94.0,64.0,729.0,11.4,3.0,39.0,61.7,36.0,4.0,45.6,68.1,7.8,0.0,
39.0,Sean Dawkins,29.0,SEA,WR,16.0,16.0,102.0,63.0,731.0,11.6,5.0,42.0,56.9,40.0,3.9,45.7,61.8,7.2,0.0,
40.0,Edgerrin James,22.0,IND,RB,16.0,16.0,87.0,63.0,594.0,9.4,5.0,24.0,52.9,60.0,3.9,37.1,72.4,6.8,5.0,"PB,AP-2,AP OPoY-2"
41.0,Derrick Mason,26.0,TEN,WR,16.0,10.0,89.0,63.0,895.0,14.2,5.0,45.0,57.3,34.0,3.9,55.9,70.8,10.1,1.0,"PB,AP-1"
42.0,Ricky Watters,31.0,SEA,RB,16.0,16.0,92.0,63.0,613.0,9.7,2.0,28.0,42.4,59.0,3.9,38.3,68.5,6.7,5.0,AP CPoY-12
43.0,Antonio Freeman,28.0,GNB,WR,15.0,15.0,120.0,62.0,912.0,14.7,9.0,47.0,45.8,67.0,4.1,60.8,51.7,7.6,1.0,
44.0,Johnnie Morton,29.0,DET,WR,16.0,16.0,116.0,61.0,788.0,12.9,3.0,40.0,44.0,42.0,3.8,49.3,52.6,6.8,1.0,
45.0,Shawn Jefferson,31.0,ATL,WR,16.0,14.0,104.0,60.0,822.0,13.7,2.0,40.0,49.0,49.0,3.8,51.4,57.7,7.9,1.0,
46.0,Tony Richardson,29.0,KAN,FB,16.0,16.0,75.0,58.0,468.0,8.1,3.0,19.0,44.0,24.0,3.6,29.3,77.3,6.2,3.0,
47.0,Kevin Johnson,24.0,CLE,WR,16.0,16.0,98.0,57.0,669.0,11.7,0.0,26.0,37.8,79.0,3.6,41.8,58.2,6.8,0.0,
48.0,Terance Mathis,33.0,ATL,WR,16.0,16.0,124.0,57.0,679.0,11.9,5.0,42.0,40.3,44.0,3.6,42.4,46.0,5.5,1.0,
49.0,Oronde Gadsden,29.0,MIA,WR,16.0,16.0,93.0,56.0,786.0,14.0,6.0,35.0,53.8,61.0,3.5,49.1,60.2,8.5,0.0,
50.0,Charles Johnson,28.0,PHI,WR,16.0,16.0,100.0,56.0,642.0,11.5,7.0,33.0,43.0,59.0,3.5,40.1,56.0,6.4,0.0,
51.0,Jeff Graham,31.0,SDG,WR,14.0,13.0,112.0,55.0,907.0,16.5,4.0,38.0,43.8,83.0,3.9,64.8,49.1,8.1,1.0,
52.0,Ike Hilliard,24.0,NYG,WR,14.0,14.0,105.0,55.0,787.0,14.3,8.0,44.0,45.7,59.0,3.9,56.2,52.4,7.5,0.0,
53.0,Eddie Kennison,27.0,CHI,WR,16.0,10.0,95.0,55.0,549.0,10.0,2.0,29.0,42.1,26.0,3.4,34.3,57.9,5.8,1.0,
