Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Rich Gannon,37.0,OAK,QB,16.0,16.0,11-5-0,418.0,618.0,67.6,4689.0,26.0,4.2,10.0,1.6,227.0,54.1,75.0,7.6,7.7,11.2,293.1,97.3,36.0,214.0,5.5,6.84,6.95,1.0,1.0,"PB,AP-1,AP MVP-1,AP OPoY-3"
2.0,Drew Bledsoe,30.0,BUF,QB,16.0,16.0,8-8-0,375.0,610.0,61.5,4359.0,24.0,3.9,15.0,2.5,222.0,47.3,73.0,7.1,6.83,11.6,272.4,86.0,54.0,369.0,8.13,6.01,5.72,2.0,4.0,"PB,AP CPoY-3"
3.0,Peyton Manning,26.0,IND,QB,16.0,16.0,10-6-0,392.0,591.0,66.3,4200.0,27.0,4.6,19.0,3.2,213.0,47.6,69.0,7.1,6.57,10.7,262.5,88.8,23.0,145.0,3.75,6.6,6.09,4.0,5.0,PB
4.0,Kerry Collins,30.0,NYG,QB,16.0,16.0,10-6-0,335.0,545.0,61.5,4073.0,19.0,3.5,14.0,2.6,193.0,47.6,82.0,7.5,7.01,12.2,254.6,85.4,24.0,152.0,4.22,6.89,6.45,5.0,5.0,
5.0,Daunte Culpepper,25.0,MIN,QB,16.0,16.0,6-10-0,333.0,549.0,60.7,3853.0,18.0,3.3,23.0,4.2,189.0,46.5,61.0,7.0,5.79,11.6,240.8,75.3,47.0,244.0,7.89,6.06,4.92,3.0,4.0,
6.0,Tom Brady,25.0,NWE,QB,16.0,16.0,9-7-0,373.0,601.0,62.1,3764.0,28.0,4.7,14.0,2.3,185.0,46.0,49.0,6.3,6.15,10.1,235.3,85.7,31.0,190.0,4.91,5.66,5.54,2.0,3.0,
7.0,Trent Green,32.0,KAN,QB,16.0,16.0,8-8-0,287.0,470.0,61.1,3690.0,26.0,5.5,13.0,2.8,177.0,47.6,99.0,7.9,7.71,12.9,230.6,92.6,26.0,141.0,5.24,7.16,7.02,4.0,4.0,
8.0,Brett Favre,33.0,GNB,QB,16.0,16.0,12-4-0,341.0,551.0,61.9,3658.0,27.0,4.9,16.0,2.9,189.0,48.0,85.0,6.6,6.31,10.7,228.6,85.6,26.0,188.0,4.51,6.01,5.7,3.0,3.0,"PB,AP-2,AP MVP-2"
9.0,Aaron Brooks,26.0,NOR,QB,16.0,16.0,9-7-0,283.0,528.0,53.6,3572.0,27.0,5.1,15.0,2.8,165.0,39.9,64.0,6.8,6.51,12.6,223.3,80.1,36.0,236.0,6.38,5.91,5.68,3.0,3.0,
10.0,Steve McNair,29.0,TEN,QB,16.0,16.0,11-5-0,301.0,492.0,61.2,3387.0,22.0,4.5,15.0,3.0,179.0,47.0,55.0,6.9,6.41,11.3,211.7,84.0,21.0,121.0,4.09,6.37,5.91,3.0,3.0,"AP MVP-3,AP OPoY-5"
11.0,Jeff Garcia,32.0,SFO,QB,16.0,16.0,10-6-0,328.0,528.0,62.1,3344.0,21.0,4.0,10.0,1.9,173.0,45.7,76.0,6.3,6.28,10.2,209.0,85.6,17.0,93.0,3.12,5.97,5.91,2.0,4.0,PB
12.0,Drew Brees,23.0,SDG,QB,16.0,16.0,8-8-0,320.0,526.0,60.8,3284.0,17.0,3.2,16.0,3.0,164.0,42.7,52.0,6.2,5.52,10.3,205.3,76.9,24.0,180.0,4.36,5.64,4.95,2.0,4.0,
13.0,Brian Griese,27.0,DEN,QB,13.0,13.0,8-5-0,291.0,436.0,66.7,3214.0,15.0,3.4,15.0,3.4,157.0,51.9,82.0,7.4,6.51,11.0,247.2,85.6,34.0,237.0,7.23,6.33,5.54,1.0,1.0,
14.0,Jon Kitna,30.0,CIN,QB,14.0,12.0,2-10-0,294.0,473.0,62.2,3178.0,16.0,3.4,16.0,3.4,159.0,46.1,72.0,6.7,5.87,10.8,227.0,79.1,24.0,159.0,4.83,6.07,5.27,1.0,1.0,
15.0,Chad Pennington,26.0,NYJ,QB,15.0,12.0,8-4-0,275.0,399.0,68.9,3120.0,22.0,5.5,6.0,1.5,168.0,52.3,47.0,7.8,8.25,11.3,208.0,104.2,22.0,135.0,5.23,7.09,7.49,1.0,2.0,
16.0,Matt Hasselbeck,27.0,SEA,QB,16.0,10.0,5-5-0,267.0,419.0,63.7,3075.0,15.0,3.6,10.0,2.4,160.0,48.1,49.0,7.3,6.98,11.5,192.2,87.8,26.0,143.0,5.84,6.59,6.25,1.0,3.0,
17.0,Brad Johnson,34.0,TAM,QB,13.0,13.0,10-3-0,281.0,451.0,62.3,3049.0,22.0,4.9,6.0,1.3,144.0,47.5,76.0,6.8,7.14,10.9,234.5,92.9,21.0,121.0,4.45,6.2,6.56,0.0,1.0,PB
18.0,Jake Plummer,28.0,ARI,QB,16.0,16.0,5-11-0,284.0,530.0,53.6,2972.0,18.0,3.4,20.0,3.8,147.0,40.1,80.0,5.6,4.59,10.5,185.8,65.7,36.0,248.0,6.36,4.81,3.86,2.0,4.0,
19.0,Michael Vick,22.0,ATL,QB,15.0,15.0,8-6-1,231.0,421.0,54.9,2936.0,16.0,3.8,8.0,1.9,140.0,39.9,74.0,7.0,6.88,12.7,195.7,81.6,33.0,206.0,7.27,6.01,5.93,2.0,2.0,"PB,AP MVP-4"
