Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Unnamed: 19_level_0,Unnamed: 20_level_0
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
1.0,Andre Johnson,25.0,HOU,WR,16.0,16.0,163.0,103.0,1147.0,11.1,5.0,56.0,50.3,53.0,6.4,71.7,63.2,7.0,1.0,"PB,AP-2"
2.0,Mike Furrey,29.0,DET,WR,16.0,14.0,146.0,98.0,1086.0,11.1,6.0,55.0,56.2,31.0,6.1,67.9,67.1,7.4,1.0,
3.0,Marvin Harrison,34.0,IND,WR,16.0,16.0,148.0,95.0,1366.0,14.4,12.0,78.0,60.1,68.0,5.9,85.4,64.2,9.2,1.0,"PB,AP-1"
4.0,Torry Holt,30.0,STL,WR,16.0,16.0,179.0,93.0,1188.0,12.8,10.0,66.0,47.5,67.0,5.8,74.3,52.0,6.6,2.0,"PB,AP-2"
5.0,Donald Driver,31.0,GNB,WR,16.0,16.0,173.0,92.0,1295.0,14.1,8.0,54.0,48.0,82.0,5.8,80.9,53.2,7.5,1.0,PB
6.0,Laveranues Coles,29.0,NYJ,WR,16.0,16.0,152.0,91.0,1098.0,12.1,6.0,53.0,49.3,58.0,5.7,68.6,59.9,7.2,1.0,
7.0,T.J. Houshmandzadeh,29.0,CIN,WR,14.0,13.0,132.0,90.0,1081.0,12.0,9.0,58.0,56.1,40.0,6.4,77.2,68.2,8.2,0.0,
8.0,Steven Jackson,23.0,STL,RB,16.0,16.0,110.0,90.0,806.0,9.0,3.0,32.0,51.8,64.0,5.6,50.4,81.8,7.3,4.0,"PB,AP-2,AP OPoY-4"
9.0,Kellen Winslow,23.0,CLE,TE,16.0,16.0,120.0,89.0,875.0,9.8,3.0,41.0,53.3,40.0,5.6,54.7,74.2,7.3,1.0,AP CPoY-4
10.0,Reggie Bush,21.0,NOR,RB,16.0,8.0,121.0,88.0,742.0,8.4,2.0,34.0,43.8,74.0,5.5,46.4,72.7,6.1,2.0,AP ORoY-5
11.0,Chad Johnson,28.0,CIN,WR,16.0,16.0,152.0,87.0,1369.0,15.7,7.0,67.0,55.3,74.0,5.4,85.6,57.2,9.0,1.0,"PB,AP-1"
12.0,Reggie Wayne,28.0,IND,WR,16.0,16.0,137.0,86.0,1310.0,15.2,9.0,72.0,60.6,51.0,5.4,81.9,62.8,9.6,1.0,PB
13.0,Terrell Owens,33.0,DAL,WR,16.0,15.0,150.0,85.0,1180.0,13.9,13.0,63.0,50.7,56.0,5.3,73.8,56.7,7.9,0.0,
14.0,Anquan Boldin,26.0,ARI,WR,16.0,16.0,152.0,83.0,1203.0,14.5,4.0,55.0,46.7,64.0,5.2,75.2,54.6,7.9,1.0,PB
15.0,Steve Smith Sr.,27.0,CAR,WR,14.0,14.0,139.0,83.0,1166.0,14.0,8.0,52.0,51.1,72.0,5.9,83.3,59.7,8.4,2.0,PB
16.0,Jerricho Cotchery,24.0,NYJ,WR,16.0,16.0,125.0,82.0,961.0,11.7,6.0,53.0,57.6,71.0,5.1,60.1,65.6,7.7,0.0,
17.0,Lee Evans,25.0,BUF,WR,16.0,15.0,137.0,82.0,1292.0,15.8,8.0,54.0,55.5,83.0,5.1,80.8,59.9,9.4,1.0,
18.0,Roy Williams,25.0,DET,WR,16.0,16.0,151.0,82.0,1310.0,16.0,7.0,66.0,51.7,60.0,5.1,81.9,54.3,8.7,2.0,PB
19.0,Brian Westbrook,27.0,PHI,RB,15.0,14.0,105.0,77.0,699.0,9.1,4.0,30.0,53.3,52.0,5.1,46.6,73.3,6.7,2.0,
20.0,Isaac Bruce,34.0,STL,WR,16.0,13.0,126.0,74.0,1098.0,14.8,3.0,54.0,54.0,45.0,4.6,68.6,58.7,8.7,0.0,
21.0,Hines Ward,30.0,PIT,WR,14.0,14.0,126.0,74.0,975.0,13.2,6.0,51.0,52.4,70.0,5.3,69.6,58.7,7.7,2.0,
22.0,Tony Gonzalez,30.0,KAN,TE,15.0,15.0,104.0,73.0,900.0,12.3,5.0,53.0,58.7,57.0,4.9,60.0,70.2,8.7,1.0,"PB,AP-2"
23.0,Todd Heap,26.0,BAL,TE,16.0,16.0,116.0,73.0,765.0,10.5,6.0,40.0,51.7,30.0,4.6,47.8,62.9,6.6,0.0,
24.0,Antonio Gates,26.0,SDG,TE,16.0,16.0,120.0,71.0,924.0,13.0,9.0,49.0,52.5,57.0,4.4,57.8,59.2,7.7,0.0,"PB,AP-1"
25.0,Marques Colston,23.0,NOR,WR,14.0,12.0,115.0,70.0,1038.0,14.8,8.0,51.0,56.5,86.0,5.0,74.1,60.9,9.0,0.0,AP ORoY-2
26.0,Terry Glenn,32.0,DAL,WR,15.0,14.0,111.0,70.0,1047.0,15.0,6.0,47.0,55.9,54.0,4.7,69.8,63.1,9.4,0.0,
27.0,Keyshawn Johnson,34.0,CAR,WR,16.0,16.0,128.0,70.0,815.0,11.6,4.0,42.0,51.6,40.0,4.4,50.9,54.7,6.4,1.0,
28.0,Larry Fitzgerald,23.0,ARI,WR,13.0,13.0,111.0,69.0,946.0,13.7,6.0,52.0,59.5,57.0,5.3,72.8,62.2,8.5,0.0,
29.0,Javon Walker,28.0,DEN,WR,16.0,16.0,126.0,69.0,1084.0,15.7,8.0,53.0,49.2,83.0,4.3,67.8,54.8,8.6,0.0,AP CPoY-6
30.0,Derrick Mason,32.0,BAL,WR,16.0,15.0,112.0,68.0,750.0,11.0,2.0,45.0,51.8,38.0,4.3,46.9,60.7,6.7,1.0,
31.0,Mark Clayton,24.0,BAL,WR,16.0,12.0,113.0,67.0,939.0,14.0,5.0,42.0,45.1,87.0,4.2,58.7,59.3,8.3,0.0,
32.0,Wes Welker,25.0,MIA,WR,16.0,2.0,100.0,67.0,687.0,10.3,1.0,33.0,51.0,38.0,4.2,42.9,67.0,6.9,3.0,
33.0,Jeremy Shockey,26.0,NYG,TE,15.0,15.0,115.0,66.0,623.0,9.4,7.0,37.0,50.4,25.0,4.4,41.5,57.4,5.4,0.0,PB
34.0,Jason Witten,24.0,DAL,TE,16.0,15.0,90.0,64.0,754.0,11.8,1.0,37.0,58.9,42.0,4.0,47.1,71.1,8.4,0.0,PB
35.0,Plaxico Burress,29.0,NYG,WR,15.0,15.0,116.0,63.0,988.0,15.7,10.0,43.0,47.4,55.0,4.2,65.9,54.3,8.5,2.0,
36.0,Darrell Jackson,28.0,SEA,WR,13.0,13.0,112.0,63.0,956.0,15.2,10.0,44.0,46.4,72.0,4.8,73.5,56.3,8.5,1.0,
37.0,Ronald Curry,27.0,OAK,WR,16.0,4.0,89.0,62.0,727.0,11.7,1.0,40.0,57.3,39.0,3.9,45.4,69.7,8.2,0.0,
38.0,Joey Galloway,35.0,TAM,WR,16.0,14.0,143.0,62.0,1057.0,17.0,7.0,44.0,39.9,64.0,3.9,66.1,43.4,7.4,0.0,
39.0,Randy McMichael,27.0,MIA,TE,16.0,16.0,96.0,62.0,640.0,10.3,3.0,37.0,53.1,24.0,3.9,40.0,64.6,6.7,0.0,
40.0,Reche Caldwell,27.0,NWE,WR,16.0,14.0,102.0,61.0,760.0,12.5,4.0,41.0,50.0,62.0,3.8,47.5,59.8,7.5,2.0,
41.0,Braylon Edwards,23.0,CLE,WR,16.0,15.0,125.0,61.0,884.0,14.5,6.0,38.0,40.0,75.0,3.8,55.3,48.8,7.1,0.0,
42.0,Frank Gore,23.0,SFO,RB,16.0,16.0,86.0,61.0,485.0,8.0,1.0,23.0,48.8,39.0,3.8,30.3,70.9,5.6,6.0,"PB,AP-2"
43.0,Kevin Jones,24.0,DET,RB,12.0,12.0,78.0,61.0,520.0,8.5,2.0,26.0,59.0,26.0,5.1,43.3,78.2,6.7,5.0,
44.0,Muhsin Muhammad,33.0,CHI,WR,16.0,16.0,117.0,60.0,863.0,14.4,5.0,45.0,47.9,40.0,3.8,53.9,51.3,7.4,1.0,
45.0,Arnaz Battle,26.0,SFO,WR,16.0,15.0,85.0,59.0,686.0,11.6,3.0,36.0,56.5,56.0,3.7,42.9,69.4,8.1,2.0,
46.0,Chris Chambers,28.0,MIA,WR,16.0,16.0,154.0,59.0,677.0,11.5,4.0,36.0,31.8,46.0,3.7,42.3,38.3,4.4,0.0,
47.0,Tiki Barber,31.0,NYG,RB,16.0,16.0,75.0,58.0,465.0,8.0,0.0,24.0,53.3,28.0,3.6,29.1,77.3,6.2,3.0,PB
48.0,Chris Cooley,24.0,WAS,TE,16.0,16.0,95.0,57.0,734.0,12.9,6.0,33.0,49.5,66.0,3.6,45.9,60.0,7.7,0.0,
49.0,Eric Moulds,33.0,HOU,WR,16.0,16.0,78.0,57.0,557.0,9.8,1.0,32.0,56.4,29.0,3.6,34.8,73.1,7.1,1.0,
50.0,Travis Taylor,28.0,MIN,WR,16.0,16.0,87.0,57.0,651.0,11.4,3.0,29.0,49.4,36.0,3.6,40.7,65.5,7.5,2.0,
51.0,Alge Crumpler,29.0,ATL,TE,16.0,16.0,103.0,56.0,780.0,13.9,8.0,37.0,46.6,46.0,3.5,48.8,54.4,7.6,0.0,PB
52.0,LaDainian Tomlinson,27.0,SDG,RB,16.0,16.0,80.0,56.0,508.0,9.1,3.0,23.0,48.8,51.0,3.5,31.8,70.0,6.4,2.0,"PB,AP-1,AP MVP-1,AP OPoY-1"
53.0,Marty Booker,30.0,MIA,WR,14.0,13.0,90.0,55.0,747.0,13.6,6.0,36.0,50.0,52.0,3.9,53.4,61.1,8.3,0.0,
