Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Unnamed: 16_level_0,Unnamed: 17_level_0
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
1.0,Ricky Williams,26.0,MIA,RB,16.0,16.0,392.0,1372.0,9.0,68.0,36.7,45.0,3.5,85.8,24.5,7.0,
2.0,Jamal Lewis,24.0,BAL,RB,16.0,16.0,387.0,2066.0,14.0,85.0,45.2,82.0,5.3,129.1,24.2,8.0,"PB,AP-1,AP MVP-4,AP OPoY-1"
3.0,Ahman Green,26.0,GNB,RB,16.0,16.0,355.0,1883.0,15.0,100.0,49.3,98.0,5.3,117.7,22.2,7.0,PB
4.0,Deuce McAllister,25.0,NOR,RB,16.0,16.0,351.0,1641.0,8.0,69.0,40.7,76.0,4.7,102.6,21.9,6.0,"PB,AP OPoY-6"
5.0,Fred Taylor,27.0,JAX,RB,16.0,16.0,345.0,1572.0,6.0,79.0,46.7,62.0,4.6,98.3,21.6,6.0,
6.0,Travis Henry,25.0,BUF,RB,15.0,15.0,331.0,1356.0,10.0,77.0,44.1,64.0,4.1,90.4,22.1,7.0,
7.0,Shaun Alexander,26.0,SEA,RB,16.0,15.0,326.0,1435.0,14.0,81.0,46.6,55.0,4.4,89.7,20.4,4.0,PB
8.0,Curtis Martin,30.0,NYJ,RB,16.0,16.0,323.0,1308.0,2.0,57.0,44.6,56.0,4.0,81.8,20.2,2.0,
9.0,Priest Holmes,30.0,KAN,RB,16.0,16.0,320.0,1420.0,27.0,90.0,57.5,31.0,4.4,88.8,20.0,1.0,"PB,AP-1,AP MVP-5,AP OPoY-4,AP CPoY-11"
10.0,Stephen Davis,29.0,CAR,RB,14.0,14.0,318.0,1444.0,8.0,69.0,45.6,40.0,4.5,103.1,22.7,3.0,"PB,AP CPoY-4"
11.0,LaDainian Tomlinson,24.0,SDG,RB,16.0,16.0,313.0,1645.0,13.0,83.0,43.1,73.0,5.3,102.8,19.6,2.0,"AP-2,AP OPoY-2"
12.0,Eddie George,30.0,TEN,RB,16.0,16.0,312.0,1031.0,5.0,52.0,38.5,27.0,3.3,64.4,19.5,1.0,
13.0,Edgerrin James,25.0,IND,RB,13.0,13.0,310.0,1259.0,11.0,84.0,49.4,43.0,4.1,96.8,23.8,5.0,
14.0,Clinton Portis,22.0,DEN,RB,13.0,13.0,290.0,1591.0,14.0,79.0,51.0,65.0,5.5,122.4,22.3,3.0,PB
15.0,Tiki Barber,28.0,NYG,RB,16.0,16.0,278.0,1216.0,2.0,68.0,47.5,27.0,4.4,76.0,17.4,9.0,
16.0,Troy Hambrick,27.0,DAL,RB,16.0,16.0,275.0,972.0,5.0,58.0,42.9,42.0,3.5,60.8,17.2,4.0,
17.0,Jerome Bettis,31.0,PIT,RB,16.0,10.0,246.0,811.0,7.0,44.0,46.7,21.0,3.3,50.7,15.4,5.0,
18.0,Anthony Thomas,26.0,CHI,RB,13.0,13.0,244.0,1024.0,6.0,47.0,45.1,67.0,4.2,78.8,18.8,1.0,
19.0,Domanick Williams,23.0,HOU,RB,14.0,10.0,238.0,1031.0,8.0,48.0,39.5,51.0,4.3,73.6,17.0,4.0,
20.0,Marcel Shipp,25.0,ARI,RB,16.0,11.0,228.0,830.0,0.0,37.0,42.1,36.0,3.6,51.9,14.3,3.0,
21.0,Rudi Johnson,24.0,CIN,RB,13.0,5.0,215.0,957.0,9.0,51.0,46.0,54.0,4.5,73.6,16.5,0.0,
22.0,Marshall Faulk,30.0,STL,RB,11.0,11.0,209.0,818.0,10.0,51.0,43.1,52.0,3.9,74.4,19.0,0.0,AP CPoY-11
23.0,Kevan Barlow,24.0,SFO,RB,16.0,4.0,201.0,1024.0,6.0,44.0,49.8,78.0,5.1,64.0,12.6,5.0,
24.0,T.J. Duckett,22.0,ATL,RB,16.0,10.0,197.0,779.0,11.0,39.0,45.7,55.0,4.0,48.7,12.3,3.0,
25.0,Michael Pittman,28.0,TAM,RB,16.0,13.0,187.0,751.0,0.0,39.0,47.6,17.0,4.0,46.9,11.7,4.0,
26.0,Antowain Smith,31.0,NWE,RB,13.0,6.0,182.0,642.0,3.0,31.0,42.9,30.0,3.5,49.4,14.0,1.0,
27.0,Kevin Faulk,27.0,NWE,RB,15.0,8.0,178.0,638.0,0.0,30.0,42.1,23.0,3.6,42.5,11.9,4.0,
28.0,Garrison Hearst,32.0,SFO,RB,12.0,12.0,178.0,768.0,3.0,41.0,41.0,36.0,4.3,64.0,14.8,2.0,
