Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Unnamed: 19_level_0,Unnamed: 20_level_0
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
34.0,Amani Toomer,29.0,NYG,WR,16.0,16.0,152.0,63.0,1057.0,16.8,5.0,48.0,38.2,77.0,3.9,66.1,41.4,7.0,0.0,
35.0,Dennis Northcutt,26.0,CLE,WR,15.0,6.0,93.0,62.0,729.0,11.8,2.0,43.0,54.8,44.0,4.1,48.6,66.7,7.8,2.0,
36.0,Shannon Sharpe,35.0,DEN,TE,15.0,15.0,94.0,62.0,770.0,12.4,8.0,42.0,60.6,28.0,4.1,51.3,66.0,8.2,0.0,
37.0,Plaxico Burress,26.0,PIT,WR,16.0,16.0,124.0,60.0,860.0,14.3,4.0,39.0,43.5,47.0,3.8,53.8,48.4,6.9,1.0,
38.0,Ike Hilliard,27.0,NYG,WR,13.0,12.0,102.0,60.0,608.0,10.1,6.0,38.0,52.9,38.0,4.6,46.8,58.8,6.0,2.0,
39.0,Rod Gardner,26.0,WAS,WR,16.0,16.0,115.0,59.0,600.0,10.2,5.0,29.0,42.6,35.0,3.7,37.5,51.3,5.2,1.0,
40.0,Josh Reed,23.0,BUF,WR,16.0,16.0,104.0,58.0,588.0,10.1,2.0,33.0,47.1,26.0,3.6,36.8,55.8,5.7,1.0,
41.0,Kevin Johnson,27.0,2TM,WR,15.0,9.0,95.0,58.0,634.0,10.9,3.0,33.0,50.5,41.0,3.9,42.3,61.1,6.7,0.0,
41.0,Kevin Johnson,27.0,CLE,WR,9.0,8.0,65.0,41.0,381.0,9.3,2.0,21.0,50.8,41.0,4.6,42.3,63.1,5.9,0.0,
41.0,Kevin Johnson,27.0,JAX,WR,6.0,1.0,30.0,17.0,253.0,14.9,1.0,12.0,50.0,28.0,2.8,42.2,56.7,8.4,0.0,
