Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Unnamed: 19_level_0,Unnamed: 20_level_0
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
1.0,Tony Gonzalez,28.0,KAN,TE,16.0,16.0,148.0,102.0,1258.0,12.3,7.0,70.0,60.8,32.0,6.4,78.6,68.9,8.5,0.0,"PB,AP-2"
2.0,Derrick Mason,30.0,TEN,WR,16.0,16.0,158.0,96.0,1168.0,12.2,7.0,67.0,55.1,37.0,6.0,73.0,60.8,7.4,2.0,
3.0,Chad Johnson,26.0,CIN,WR,16.0,16.0,170.0,95.0,1274.0,13.4,9.0,63.0,50.0,53.0,5.9,79.6,55.9,7.5,1.0,PB
4.0,Torry Holt,28.0,STL,WR,16.0,16.0,135.0,94.0,1372.0,14.6,10.0,59.0,57.0,75.0,5.9,85.8,69.6,10.2,3.0,PB
5.0,Joe Horn,32.0,NOR,WR,16.0,16.0,153.0,94.0,1399.0,14.9,11.0,73.0,54.2,57.0,5.9,87.4,61.4,9.1,0.0,PB
6.0,Muhsin Muhammad,31.0,CAR,WR,16.0,16.0,160.0,93.0,1405.0,15.1,16.0,74.0,55.6,51.0,5.8,87.8,58.1,8.8,3.0,"PB,AP-1"
7.0,Laveranues Coles,27.0,WAS,WR,16.0,16.0,168.0,90.0,950.0,10.6,1.0,52.0,43.5,45.0,5.6,59.4,53.6,5.7,1.0,
8.0,Isaac Bruce,32.0,STL,WR,16.0,16.0,148.0,89.0,1292.0,14.5,6.0,64.0,54.1,56.0,5.6,80.8,60.1,8.7,5.0,
9.0,Javon Walker,26.0,GNB,WR,16.0,12.0,144.0,89.0,1382.0,15.5,12.0,63.0,54.2,79.0,5.6,86.4,61.8,9.6,2.0,PB
10.0,Eric Moulds,31.0,BUF,WR,16.0,16.0,152.0,88.0,1043.0,11.9,5.0,53.0,49.3,49.0,5.5,65.2,57.9,6.9,1.0,
