Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
1.0,Antonio Brown,26.0,PIT,WR,16.0,16.0,181.0,129.0,1698.0,13.2,13.0,87.0,60.2,63.0,8.1,106.1,71.3,9.4,2.0,"PB,AP-1,AP OPoY-3"
2.0,Demaryius Thomas,27.0,DEN,WR,16.0,16.0,184.0,111.0,1619.0,14.6,11.0,69.0,50.5,86.0,6.9,101.2,60.3,8.8,0.0,"PB,AP-2"
3.0,Julio Jones,25.0,ATL,WR,15.0,15.0,163.0,104.0,1593.0,15.3,6.0,76.0,55.8,79.0,6.9,106.2,63.8,9.8,2.0,PB
4.0,Matt Forte,29.0,CHI,RB,16.0,16.0,130.0,102.0,808.0,7.9,4.0,28.0,46.2,56.0,6.4,50.5,78.5,6.2,2.0,
5.0,Emmanuel Sanders,27.0,DEN,WR,16.0,16.0,141.0,101.0,1404.0,13.9,9.0,69.0,63.8,48.0,6.3,87.8,71.6,10.0,1.0,PB
6.0,Golden Tate,26.0,DET,WR,16.0,16.0,144.0,99.0,1331.0,13.4,4.0,61.0,54.2,73.0,6.2,83.2,68.8,9.2,1.0,PB
7.0,Jordy Nelson,29.0,GNB,WR,16.0,16.0,151.0,98.0,1519.0,15.5,13.0,71.0,58.9,80.0,6.1,94.9,64.9,10.1,0.0,"PB,AP-2"
8.0,Julian Edelman,28.0,NWE,WR,14.0,13.0,134.0,92.0,972.0,10.6,4.0,50.0,55.2,69.0,6.6,69.4,68.7,7.3,3.0,
9.0,Odell Beckham Jr.,22.0,NYG,WR,12.0,11.0,130.0,91.0,1305.0,14.3,12.0,58.0,60.8,80.0,7.6,108.8,70.0,10.0,1.0,"PB,AP ORoY-1"
10.0,Randall Cobb,24.0,GNB,WR,16.0,16.0,127.0,91.0,1287.0,14.1,12.0,71.0,63.0,70.0,5.7,80.4,71.7,10.1,3.0,PB
11.0,Martellus Bennett,27.0,CHI,TE,16.0,15.0,128.0,90.0,916.0,10.2,6.0,43.0,51.6,37.0,5.6,57.3,70.3,7.2,0.0,PB
12.0,Dez Bryant,26.0,DAL,WR,16.0,16.0,136.0,88.0,1320.0,15.0,16.0,60.0,55.1,68.0,5.5,82.5,64.7,9.7,0.0,"PB,AP-1"
13.0,Jimmy Graham,28.0,NOR,TE,16.0,13.0,125.0,85.0,889.0,10.5,10.0,54.0,62.4,29.0,5.3,55.6,68.0,7.1,2.0,PB
14.0,Alshon Jeffery,24.0,CHI,WR,16.0,16.0,145.0,85.0,1133.0,13.3,10.0,60.0,51.0,74.0,5.3,70.8,58.6,7.8,1.0,
15.0,Andre Johnson,33.0,HOU,WR,15.0,15.0,146.0,85.0,936.0,11.0,3.0,50.0,47.3,35.0,5.7,62.4,58.2,6.4,3.0,
16.0,Jeremy Maclin,26.0,PHI,WR,16.0,16.0,143.0,85.0,1318.0,15.5,10.0,56.0,52.4,72.0,5.3,82.4,59.4,9.2,0.0,AP CPoY-2
17.0,Jarvis Landry,22.0,MIA,WR,16.0,11.0,112.0,84.0,758.0,9.0,5.0,50.0,52.7,25.0,5.3,47.4,75.0,6.8,7.0,
18.0,Greg Olsen,29.0,CAR,TE,16.0,16.0,123.0,84.0,1008.0,12.0,6.0,55.0,61.0,38.0,5.3,63.0,68.3,8.2,1.0,PB
19.0,Le'Veon Bell,22.0,PIT,RB,16.0,16.0,105.0,83.0,854.0,10.3,3.0,41.0,60.0,48.0,5.2,53.4,79.0,8.1,0.0,"PB,AP-1,AP OPoY-4"
20.0,Anquan Boldin,34.0,SFO,WR,16.0,16.0,130.0,83.0,1062.0,12.8,5.0,56.0,56.2,76.0,5.2,66.4,63.8,8.2,0.0,
21.0,Rob Gronkowski,25.0,NWE,TE,15.0,10.0,131.0,82.0,1124.0,13.7,12.0,60.0,55.7,46.0,5.5,74.9,62.6,8.6,0.0,"PB,AP-1,AP OPoY-5,AP CPoY-1"
22.0,T.Y. Hilton,25.0,IND,WR,15.0,15.0,131.0,82.0,1345.0,16.4,7.0,64.0,56.5,73.0,5.5,89.7,62.6,10.3,3.0,PB
23.0,Roddy White,33.0,ATL,WR,14.0,14.0,125.0,80.0,921.0,11.5,7.0,55.0,56.0,39.0,5.7,65.8,64.0,7.4,3.0,
24.0,Steve Smith Sr.,35.0,BAL,WR,16.0,16.0,134.0,79.0,1065.0,13.5,6.0,45.0,47.0,80.0,4.9,66.6,59.0,7.9,2.0,
25.0,Keenan Allen,22.0,SDG,WR,14.0,14.0,121.0,77.0,783.0,10.2,4.0,41.0,49.6,35.0,5.5,55.9,63.6,6.5,2.0,
26.0,DeAndre Hopkins,22.0,HOU,WR,16.0,16.0,127.0,76.0,1210.0,15.9,6.0,57.0,53.5,76.0,4.8,75.6,59.8,9.5,2.0,
27.0,Eric Decker,27.0,NYJ,WR,15.0,15.0,115.0,74.0,962.0,13.0,5.0,47.0,53.9,74.0,4.9,64.1,64.3,8.4,0.0,
28.0,Brandon LaFell,28.0,NWE,WR,16.0,13.0,119.0,74.0,953.0,12.9,7.0,50.0,52.9,56.0,4.6,59.6,62.2,8.0,1.0,
29.0,Kelvin Benjamin,23.0,CAR,WR,16.0,15.0,145.0,73.0,1008.0,13.8,9.0,52.0,43.4,51.0,4.6,63.0,50.3,7.0,1.0,
30.0,James Jones,30.0,OAK,WR,16.0,10.0,112.0,73.0,666.0,9.1,6.0,40.0,42.9,42.0,4.6,41.6,65.2,5.9,3.0,
31.0,Calvin Johnson,29.0,DET,WR,13.0,13.0,128.0,71.0,1077.0,15.2,8.0,59.0,53.9,67.0,5.5,82.8,55.5,8.4,0.0,PB
32.0,Rueben Randle,23.0,NYG,WR,16.0,13.0,127.0,71.0,938.0,13.2,3.0,48.0,48.0,49.0,4.4,58.6,55.9,7.4,0.0,
33.0,Vincent Jackson,31.0,TAM,WR,16.0,16.0,142.0,70.0,1002.0,14.3,2.0,50.0,46.5,50.0,4.4,62.6,49.3,7.1,1.0,
34.0,Antonio Gates,34.0,SDG,TE,16.0,14.0,98.0,69.0,821.0,11.9,12.0,44.0,66.3,34.0,4.3,51.3,70.4,8.4,1.0,
35.0,A.J. Green,26.0,CIN,WR,13.0,13.0,117.0,69.0,1041.0,15.1,6.0,46.0,53.0,81.0,5.3,80.1,59.0,8.9,3.0,PB
36.0,Michael Crabtree,27.0,SFO,WR,16.0,16.0,108.0,68.0,698.0,10.3,4.0,35.0,44.4,51.0,4.3,43.6,63.0,6.5,0.0,
37.0,Mike Evans,21.0,TAM,WR,15.0,15.0,122.0,68.0,1051.0,15.5,12.0,46.0,46.7,56.0,4.5,70.1,55.7,8.6,0.0,AP ORoY-3
38.0,Pierre Garcon,28.0,WAS,WR,16.0,14.0,105.0,68.0,752.0,11.1,3.0,33.0,45.7,70.0,4.3,47.0,64.8,7.2,0.0,
39.0,Travis Kelce,25.0,KAN,TE,16.0,11.0,87.0,67.0,862.0,12.9,5.0,46.0,69.0,34.0,4.2,53.9,77.0,9.9,4.0,
40.0,Jordan Matthews,22.0,PHI,WR,16.0,10.0,103.0,67.0,872.0,13.0,8.0,43.0,52.4,44.0,4.2,54.5,65.0,8.5,0.0,
41.0,Mike Wallace,28.0,MIA,WR,16.0,16.0,115.0,67.0,862.0,12.9,10.0,47.0,50.4,50.0,4.2,53.9,58.3,7.5,2.0,
42.0,Doug Baldwin,26.0,SEA,WR,16.0,16.0,98.0,66.0,825.0,12.5,3.0,43.0,51.0,49.0,4.1,51.6,67.3,8.4,0.0,
43.0,Fred Jackson,33.0,BUF,RB,14.0,9.0,90.0,66.0,501.0,7.6,1.0,26.0,46.7,34.0,4.7,35.8,73.3,5.6,5.0,
44.0,Heath Miller,32.0,PIT,TE,16.0,16.0,91.0,66.0,761.0,11.5,3.0,43.0,63.7,49.0,4.1,47.6,72.5,8.4,1.0,
45.0,Sammy Watkins,21.0,BUF,WR,16.0,16.0,128.0,65.0,982.0,15.1,6.0,48.0,46.9,84.0,4.1,61.4,50.8,7.7,1.0,
46.0,Robert Woods,22.0,BUF,WR,16.0,15.0,104.0,65.0,699.0,10.8,5.0,35.0,47.1,37.0,4.1,43.7,62.5,6.7,1.0,
47.0,Reggie Wayne,36.0,IND,WR,15.0,15.0,116.0,64.0,779.0,12.2,2.0,40.0,45.7,80.0,4.3,51.9,55.2,6.7,1.0,
48.0,Jason Witten,32.0,DAL,TE,16.0,16.0,90.0,64.0,703.0,11.0,5.0,48.0,58.9,34.0,4.0,43.9,71.1,7.8,0.0,PB
