Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
1.0,Arian Foster,26.0,HOU,RB,16.0,16.0,351.0,1424.0,15.0,78.0,44.4,46.0,4.1,89.0,21.9,3.0,PB
2.0,Adrian Peterson,27.0,MIN,RB,16.0,16.0,348.0,2097.0,12.0,88.0,46.8,82.0,6.0,131.1,21.8,4.0,"PB,AP-1,AP MVP-1,AP OPoY-1,AP CPoY-2"
3.0,Alfred Morris,24.0,WAS,RB,16.0,16.0,335.0,1613.0,13.0,86.0,50.1,39.0,4.8,100.8,20.9,4.0,AP-2
4.0,Doug Martin,23.0,TAM,RB,16.0,16.0,319.0,1454.0,11.0,64.0,44.8,70.0,4.6,90.9,19.9,1.0,PB
5.0,Marshawn Lynch,26.0,SEA,RB,16.0,15.0,315.0,1590.0,11.0,70.0,48.6,77.0,5.0,99.4,19.7,5.0,"PB,AP-1"
6.0,Stevan Ridley,23.0,NWE,RB,16.0,12.0,290.0,1263.0,12.0,83.0,52.8,41.0,4.4,78.9,18.1,4.0,
7.0,Jamaal Charles,26.0,KAN,RB,16.0,15.0,285.0,1509.0,5.0,63.0,46.7,91.0,5.3,94.3,17.8,5.0,"PB,AP-2,AP CPoY-3"
8.0,BenJarvus Green-Ellis,27.0,CIN,RB,15.0,15.0,278.0,1094.0,6.0,55.0,46.0,48.0,3.9,72.9,18.5,3.0,
9.0,Shonn Greene,27.0,NYJ,RB,16.0,14.0,276.0,1063.0,8.0,52.0,51.1,36.0,3.9,66.4,17.3,4.0,
10.0,Chris Johnson,27.0,TEN,RB,16.0,15.0,276.0,1243.0,6.0,46.0,41.7,94.0,4.5,77.7,17.3,5.0,
11.0,Trent Richardson,22.0,CLE,RB,15.0,15.0,267.0,950.0,11.0,38.0,42.3,32.0,3.6,63.3,17.8,3.0,
12.0,Frank Gore,29.0,SFO,RB,16.0,16.0,258.0,1214.0,8.0,68.0,47.7,37.0,4.7,75.9,16.1,2.0,PB
13.0,Steven Jackson,29.0,STL,RB,16.0,16.0,258.0,1045.0,4.0,49.0,45.3,46.0,4.1,65.3,16.1,0.0,
14.0,Ray Rice,25.0,BAL,RB,16.0,16.0,257.0,1143.0,9.0,52.0,43.2,46.0,4.4,71.4,16.1,1.0,PB
15.0,Matt Forte,27.0,CHI,RB,15.0,15.0,248.0,1094.0,5.0,45.0,41.5,46.0,4.4,72.9,16.5,2.0,
16.0,Reggie Bush,27.0,MIA,RB,16.0,16.0,227.0,986.0,6.0,43.0,50.2,65.0,4.3,61.6,14.2,4.0,
17.0,Michael Turner,30.0,ATL,RB,16.0,16.0,222.0,800.0,10.0,40.0,41.0,43.0,3.6,50.0,13.9,3.0,
18.0,Ahmad Bradshaw,26.0,NYG,RB,14.0,12.0,221.0,1015.0,6.0,58.0,50.7,37.0,4.6,72.5,15.8,3.0,
