Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Unnamed: 16_level_0,Unnamed: 17_level_0
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
1.0,Stephen Davis,27.0,WAS,RB,16.0,16.0,356.0,1432.0,5.0,75.0,45.8,32.0,4.0,89.5,22.3,6.0,
2.0,Corey Dillon,27.0,CIN,RB,16.0,16.0,340.0,1315.0,10.0,69.0,40.9,96.0,3.9,82.2,21.3,5.0,PB
3.0,LaDainian Tomlinson,22.0,SDG,RB,16.0,16.0,339.0,1236.0,10.0,68.0,43.7,54.0,3.6,77.3,21.2,8.0,AP ORoY-2
4.0,Curtis Martin,28.0,NYJ,RB,16.0,16.0,333.0,1513.0,10.0,78.0,46.5,47.0,4.5,94.6,20.8,2.0,"PB,AP-2"
5.0,Priest Holmes,28.0,KAN,RB,16.0,16.0,327.0,1555.0,8.0,81.0,50.5,41.0,4.8,97.2,20.4,4.0,"PB,AP-1,AP OPoY-4"
6.0,Eddie George,28.0,TEN,RB,16.0,16.0,315.0,939.0,5.0,40.0,33.0,27.0,3.0,58.7,19.7,8.0,
7.0,Lamar Smith,31.0,MIA,RB,16.0,16.0,313.0,968.0,6.0,48.0,37.1,25.0,3.1,60.5,19.6,6.0,
8.0,Ricky Williams,24.0,NOR,RB,16.0,16.0,313.0,1245.0,6.0,61.0,41.9,46.0,4.0,77.8,19.6,8.0,
9.0,Shaun Alexander,24.0,SEA,RB,16.0,12.0,309.0,1318.0,14.0,64.0,42.7,88.0,4.3,82.4,19.3,4.0,
10.0,Ahman Green,24.0,GNB,RB,16.0,16.0,304.0,1387.0,9.0,57.0,42.8,83.0,4.6,86.7,19.0,5.0,"PB,AP-2"
11.0,Antowain Smith,29.0,NWE,RB,16.0,15.0,287.0,1157.0,12.0,61.0,45.6,44.0,4.0,72.3,17.9,4.0,
12.0,Anthony Thomas,24.0,CHI,RB,14.0,10.0,278.0,1183.0,7.0,58.0,43.9,46.0,4.3,84.5,19.9,0.0,AP ORoY-1
13.0,Emmitt Smith,32.0,DAL,RB,14.0,14.0,261.0,1021.0,3.0,48.0,37.9,44.0,3.9,72.9,18.6,1.0,
14.0,Marshall Faulk,28.0,STL,RB,14.0,14.0,260.0,1382.0,12.0,70.0,54.6,71.0,5.3,98.7,18.6,3.0,"PB,AP-1,AP MVP-2,AP OPoY-1"
15.0,Garrison Hearst,30.0,SFO,RB,16.0,16.0,252.0,1206.0,4.0,53.0,48.8,43.0,4.8,75.4,15.8,1.0,"PB,AP CPoY-1"
16.0,Michael Pittman,26.0,ARI,RB,15.0,14.0,241.0,846.0,5.0,42.0,40.2,42.0,3.5,56.4,16.1,5.0,
17.0,Maurice Smith,25.0,ATL,RB,16.0,12.0,237.0,760.0,5.0,38.0,36.3,58.0,3.2,47.5,14.8,1.0,
18.0,Dominic Rhodes,22.0,IND,RB,15.0,10.0,233.0,1104.0,9.0,58.0,48.1,77.0,4.7,73.6,15.5,6.0,AP ORoY-5
19.0,Jerome Bettis,29.0,PIT,RB,11.0,11.0,225.0,1072.0,4.0,46.0,43.1,48.0,4.8,97.5,20.5,3.0,PB
20.0,Travis Henry,23.0,BUF,RB,13.0,12.0,213.0,729.0,4.0,39.0,37.6,25.0,3.4,56.1,16.4,5.0,
21.0,Stacey Mack,26.0,JAX,RB,16.0,11.0,213.0,877.0,9.0,50.0,46.5,54.0,4.1,54.8,13.3,3.0,
22.0,Charlie Garner,29.0,OAK,RB,16.0,16.0,211.0,839.0,1.0,33.0,46.9,38.0,4.0,52.4,13.2,2.0,
23.0,James Jackson,25.0,CLE,RB,11.0,10.0,195.0,554.0,2.0,34.0,34.4,22.0,2.8,50.4,17.7,1.0,
24.0,Ron Dayne,23.0,NYG,RB,16.0,7.0,180.0,690.0,7.0,39.0,38.9,61.0,3.8,43.1,11.3,2.0,
25.0,Mike Anderson,28.0,DEN,RB,16.0,7.0,175.0,678.0,4.0,36.0,42.3,62.0,3.9,42.4,10.9,1.0,
26.0,Michael Bennett,23.0,MIN,RB,13.0,13.0,172.0,682.0,2.0,28.0,43.6,31.0,4.0,52.5,13.2,0.0,
27.0,Terry Allen,33.0,BAL,RB,11.0,8.0,168.0,658.0,3.0,32.0,41.1,26.0,3.9,59.8,15.3,1.0,
28.0,Terrell Davis,29.0,DEN,RB,8.0,8.0,167.0,701.0,0.0,39.0,46.7,57.0,4.2,87.6,20.9,2.0,
29.0,Tiki Barber,26.0,NYG,RB,14.0,9.0,166.0,865.0,4.0,40.0,47.0,36.0,5.2,61.8,11.9,8.0,
30.0,Duce Staley,26.0,PHI,RB,13.0,10.0,166.0,604.0,2.0,29.0,41.0,44.0,3.6,46.5,12.8,3.0,
31.0,Mike Alstott,28.0,TAM,FB,16.0,16.0,165.0,680.0,10.0,40.0,47.3,39.0,4.1,42.5,10.3,2.0,PB
32.0,Richard Huntley,29.0,CAR,RB,14.0,9.0,165.0,665.0,2.0,30.0,39.4,25.0,4.0,47.5,11.8,3.0,
