Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush
6,16,1,5.6%,4,7,1,6.3%,2,0,1,6.3%
6,-2,1,9.4%,3,1,1,8.1%,3,1,1,20.0%
6,16,2,5.9%,3,8,2,5.4%,2,2,2,6.3%
6,21,1,5.7%,5,8,1,8.2%,2,1,0,6.9%
6,20,1,8.5%,5,11,1,11.1%,2,0,1,8.7%
6,4,0,10.5%,4,0,0,13.8%,4,0,0,25.0%
5,18,1,5.5%,3,11,1,5.2%,1,0,0,3.7%
5,20,0,,1,-1,0,,0,0,0,
5,20,0,4.7%,2,3,0,3.1%,1,0,0,3.1%
5,9,2,6.1%,5,9,2,9.8%,3,2,2,13.6%
5,10,0,7.4%,3,9,0,9.1%,0,0,0,.0%
5,10,0,4.7%,0,0,0,.0%,0,0,0,.0%
5,10,2,5.5%,5,10,2,9.1%,2,4,2,10.0%
5,-4,1,7.6%,2,1,1,6.5%,2,1,1,11.8%
4,6,2,5.3%,3,2,2,7.7%,3,2,2,15.0%
4,-13,0,5.6%,1,-4,0,2.1%,0,0,0,.0%
4,6,0,7.8%,3,4,0,10.7%,2,0,0,12.5%
4,-4,0,6.3%,0,0,0,.0%,0,0,0,.0%
4,28,1,5.3%,2,5,0,5.1%,0,0,0,.0%
4,6,0,6.1%,1,2,0,3.2%,0,0,0,.0%
4,10,0,4.4%,1,1,0,2.1%,0,0,0,.0%
4,5,0,3.7%,3,0,0,4.8%,1,-1,0,3.3%
4,13,0,4.4%,2,4,0,4.3%,1,0,0,3.8%
4,16,2,4.0%,2,11,2,3.6%,1,3,1,3.1%
4,1,1,5.6%,2,3,1,5.1%,2,3,1,12.5%
4,18,1,7.1%,1,1,1,3.8%,1,1,1,6.7%
4,-4,0,5.6%,1,0,0,2.6%,0,0,0,.0%
4,9,2,5.6%,3,2,2,7.7%,3,2,2,18.8%
4,8,0,3.9%,1,0,0,2.0%,1,0,0,4.2%
3,1,1,3.9%,3,1,1,7.0%,3,1,1,13.0%
3,20,0,4.5%,2,9,0,6.5%,0,0,0,.0%
3,15,0,2.9%,0,0,0,.0%,0,0,0,.0%
3,11,1,4.7%,2,12,1,9.1%,0,0,0,.0%
3,11,0,4.7%,2,3,0,5.4%,1,0,0,6.7%
3,17,2,2.9%,2,3,1,4.0%,1,3,1,4.2%
3,14,1,5.7%,2,3,1,6.3%,2,3,1,11.8%
3,6,1,4.2%,1,7,1,2.6%,0,0,0,.0%
3,22,2,4.7%,1,5,1,2.7%,0,0,0,.0%
3,12,1,3.3%,1,3,1,1.8%,1,3,1,5.0%
3,3,0,2.8%,0,0,0,.0%,0,0,0,.0%
3,9,0,3.7%,0,0,0,.0%,0,0,0,.0%
3,8,0,4.2%,2,6,0,5.1%,0,0,0,.0%
3,18,0,5.3%,1,7,0,3.4%,0,0,0,.0%
3,4,0,3.7%,2,2,0,3.9%,1,0,0,4.5%
3,15,0,4.7%,0,0,0,.0%,0,0,0,.0%
3,21,0,4.8%,0,0,0,.0%,0,0,0,.0%
3,27,1,4.5%,0,0,0,.0%,0,0,0,.0%
3,19,1,3.7%,1,4,0,2.0%,0,0,0,.0%
2,-2,0,2.9%,0,0,0,.0%,0,0,0,.0%
2,-2,0,1.9%,0,0,0,.0%,0,0,0,.0%
2,2,0,3.5%,0,0,0,.0%,0,0,0,.0%
2,6,0,3.1%,2,6,0,5.4%,0,0,0,.0%
2,0,0,2.2%,2,0,0,3.4%,0,0,0,.0%
2,4,0,2.8%,0,0,0,.0%,0,0,0,.0%
2,6,0,2.6%,0,0,0,.0%,0,0,0,.0%
2,10,1,3.4%,1,-1,0,3.0%,1,-1,0,5.6%
2,11,0,2.2%,1,-1,0,1.7%,1,-1,0,3.7%
2,9,0,1.9%,1,6,0,1.6%,0,0,0,.0%
2,23,1,5.4%,1,9,1,6.7%,0,0,0,.0%
2,4,0,3.1%,0,0,0,.0%,0,0,0,.0%
2,20,1,4.8%,0,0,0,.0%,0,0,0,.0%
2,9,0,3.8%,1,4,0,3.1%,0,0,0,.0%
2,8,0,2.6%,1,3,0,2.3%,1,3,0,4.3%
2,7,0,3.4%,1,-1,0,3.0%,0,0,0,.0%
2,3,0,2.0%,2,3,0,3.6%,1,0,0,3.1%
2,4,1,1.9%,2,4,1,4.0%,2,4,1,8.3%
2,3,0,3.9%,1,1,0,3.6%,0,0,0,.0%
2,3,0,2.6%,0,0,0,.0%,0,0,0,.0%
2,0,0,2.8%,2,0,0,5.3%,2,0,0,11.1%
2,15,1,2.3%,0,0,0,.0%,0,0,0,.0%
2,-6,0,1.9%,1,-7,0,1.5%,1,-7,0,3.3%
2,11,1,3.8%,0,0,0,.0%,0,0,0,.0%
2,3,0,3.0%,1,3,0,3.2%,0,0,0,.0%
2,13,1,1.9%,1,7,1,2.0%,0,0,0,.0%
2,8,0,5.4%,1,6,0,6.7%,0,0,0,.0%
2,-3,0,2.2%,0,0,0,.0%,0,0,0,.0%
1,2,0,2.0%,0,0,0,.0%,0,0,0,.0%
1,4,0,1.4%,1,4,0,2.2%,0,0,0,.0%
1,0,0,.9%,0,0,0,.0%,0,0,0,.0%
1,0,0,1.2%,0,0,0,.0%,0,0,0,.0%
1,7,1,1.4%,1,7,1,2.6%,0,0,0,.0%
1,1,1,2.7%,1,1,1,6.7%,1,1,1,50.0%
1,3,1,1.4%,1,3,1,2.7%,1,3,1,5.9%
1,0,0,1.3%,0,0,0,.0%,0,0,0,.0%
1,2,0,2.7%,0,0,0,.0%,0,0,0,.0%
1,0,0,1.8%,1,0,0,3.8%,1,0,0,6.7%
1,-1,0,1.3%,0,0,0,.0%,0,0,0,.0%
1,-3,0,1.9%,0,0,0,.0%,0,0,0,.0%
1,3,0,1.6%,0,0,0,.0%,0,0,0,.0%
1,1,0,1.6%,1,1,0,4.5%,0,0,0,.0%
1,1,1,1.0%,1,1,1,1.8%,1,1,1,3.1%
1,1,0,1.4%,0,0,0,.0%,0,0,0,.0%
1,5,0,.9%,1,5,0,1.6%,0,0,0,.0%
1,4,1,.9%,1,4,1,1.6%,1,4,1,3.3%
1,1,0,1.4%,0,0,0,.0%,0,0,0,.0%
1,0,0,.9%,0,0,0,.0%,0,0,0,.0%
1,19,1,1.6%,0,0,0,.0%,0,0,0,.0%
1,1,0,1.0%,0,0,0,.0%,0,0,0,.0%
1,0,0,1.8%,1,0,0,3.8%,0,0,0,.0%
1,1,0,1.4%,1,1,0,2.6%,0,0,0,.0%
1,3,0,2.0%,1,3,0,3.6%,1,3,0,6.3%
1,-3,0,.9%,1,-3,0,1.6%,0,0,0,.0%
1,11,0,1.3%,0,0,0,.0%,0,0,0,.0%
1,0,0,1.0%,1,0,0,2.0%,1,0,0,4.2%
1,-10,0,1.1%,0,0,0,.0%,0,0,0,.0%
1,0,0,1.3%,1,0,0,2.8%,0,0,0,.0%
1,-12,0,2.0%,1,-12,0,3.6%,0,0,0,.0%
1,1,0,1.3%,1,1,0,2.3%,1,1,0,4.3%
1,1,0,1.3%,1,1,0,2.6%,0,0,0,.0%
1,-3,0,1.2%,0,0,0,.0%,0,0,0,.0%
1,4,0,1.3%,0,0,0,.0%,0,0,0,.0%
1,9,0,1.3%,1,9,0,2.3%,0,0,0,.0%
1,8,0,1.3%,0,0,0,.0%,0,0,0,.0%
1,3,0,1.3%,0,0,0,.0%,0,0,0,.0%
1,16,1,1.3%,0,0,0,.0%,0,0,0,.0%
1,-20,0,1.5%,0,0,0,.0%,0,0,0,.0%
1,-1,0,1.7%,0,0,0,.0%,0,0,0,.0%
1,-2,0,.9%,0,0,0,.0%,0,0,0,.0%
1,3,0,1.5%,0,0,0,.0%,0,0,0,.0%
1,7,0,1.6%,0,0,0,.0%,0,0,0,.0%
1,2,0,1.1%,0,0,0,.0%,0,0,0,.0%
1,10,0,.9%,0,0,0,.0%,0,0,0,.0%
1,6,0,1.6%,1,6,0,4.5%,0,0,0,.0%
1,9,0,1.8%,0,0,0,.0%,0,0,0,.0%
1,0,0,1.3%,1,0,0,2.8%,1,0,0,9.1%
